RT60 data saved by REW V5.31.3
Source: C:\Users\arias\Downloads\Aula Magna IR\aula-magna-acustica\datos\Globo IR (WAV)\Globo F1-P7.wav
Dated: Sep 21, 2026 8:04:32 PM
Measurement: Globo F1-P7
Sweep level: -12.0 dBFS
Response measured over: 0.2 to 24,000.0 Hz
Peak value: 1.0 at index 12513
Response length: 262144 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -0.2606875 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 0.994, -0.903, 0.000, 0.000, 0.000, 0.000, 0.989, -0.985, -5.000, -20.000, 0.000, Forward, -1.20, 4.11, 43.2, 0.123
63, 1/3, 72.927, -0.764, 12.606, -0.795, 10.944, -0.787, 12.455, -0.796, -5.000, -26.000, 0.000, Forward, -5.94, -5.21, 20.3, 1.446
80, 1/3, 108.095, -0.538, 2.265, -0.943, 1.848, -0.959, 2.971, -0.984, -5.000, -20.000, 0.000, Forward, -6.06, -5.55, 19.9, 2.524
100, 1/3, 66.977, -0.777, 23.373, -0.746, 21.291, -0.741, 23.208, -0.746, -5.000, -26.000, 0.000, Forward, -8.40, -5.60, 12.6, 1.178
125, 1/3, 2.498, -0.979, 0.000, 0.000, 0.000, 0.000, 2.225, -0.979, -5.000, -21.000, 0.000, Forward, -8.84, -6.56, 11.6, 0.209
160, 1/3, 2.113, -0.960, 1.508, -0.981, 0.000, 0.000, 1.483, -0.991, -5.000, -31.000, 0.000, Forward, -8.20, -4.49, 13.1, 0.186
200, 1/3, 1.803, -0.995, 1.606, -0.992, 1.568, -0.997, 1.571, -0.998, -5.000, -37.000, 0.000, Forward, -4.20, -2.60, 27.5, 0.148
250, 1/3, 1.352, -0.987, 1.600, -0.995, 1.521, -0.998, 1.528, -0.998, -5.000, -41.000, 0.000, Forward, -4.76, -0.14, 25.1, 0.120
315, 1/3, 1.640, -0.990, 1.411, -0.992, 1.378, -0.997, 1.416, -0.998, -5.000, -45.000, 0.000, Forward, -5.45, -2.28, 22.2, 0.137
400, 1/3, 1.306, -0.988, 1.436, -0.996, 1.545, -0.998, 1.576, -0.999, -5.000, -47.000, 0.000, Forward, 0.63, 1.43, 53.6, 0.101
500, 1/3, 1.490, -0.969, 1.445, -0.995, 1.518, -0.996, 1.536, -0.998, -5.000, -48.000, 0.000, Forward, 1.40, 2.95, 58.0, 0.098
630, 1/3, 1.104, -0.988, 1.507, -0.998, 1.645, -0.998, 1.730, -0.998, -5.000, -47.000, 0.000, Forward, 1.50, 3.35, 58.5, 0.084
800, 1/3, 1.163, -0.991, 1.719, -0.998, 1.675, -0.999, 1.679, -0.999, -5.000, -45.000, 0.000, Forward, 1.88, 3.87, 60.7, 0.079
1000, 1/3, 1.023, -0.997, 1.606, -0.995, 1.671, -0.998, 1.635, -0.998, -5.000, -33.000, 0.000, Forward, -0.68, 3.42, 46.1, 0.082
1250, 1/3, 0.897, -0.996, 1.630, -0.998, 1.691, -0.999, 1.703, -0.999, -5.000, -37.000, 0.000, Forward, 1.67, 4.82, 59.5, 0.068
1600, 1/3, 0.919, -0.977, 1.583, -0.998, 1.685, -0.998, 1.596, -0.999, -5.000, -30.000, 0.000, Forward, 4.21, 6.96, 72.5, 0.049
2000, 1/3, 1.235, -0.992, 1.715, -0.999, 1.793, -0.999, 1.740, -0.999, -5.000, -30.000, 0.000, Forward, 0.76, 3.61, 54.4, 0.078
2500, 1/3, 1.284, -0.957, 1.605, -0.998, 1.741, -0.998, 1.715, -0.998, -5.000, -33.000, 0.000, Forward, 3.29, 6.18, 68.1, 0.061
3150, 1/3, 0.756, -0.985, 1.578, -0.997, 1.696, -0.998, 1.747, -0.999, -9.000, -38.000, 0.000, Forward, 4.54, 7.50, 74.0, 0.048
4000, 1/3, 1.108, -0.992, 1.492, -0.999, 1.577, -0.999, 1.450, -0.999, -5.000, -21.000, 0.000, Forward, 2.28, 4.61, 62.9, 0.066
5000, 1/3, 1.031, -0.985, 1.347, -0.999, 1.412, -0.999, 1.360, -0.999, -5.000, -28.000, 0.000, Forward, 1.71, 5.06, 59.7, 0.066
6300, 1/3, 0.778, -0.993, 1.160, -0.999, 1.230, -0.999, 1.231, -0.999, -5.000, -40.000, 0.000, Forward, 2.61, 6.04, 64.6, 0.057
8000, 1/3, 0.637, -0.977, 0.869, -0.994, 0.925, -0.997, 0.917, -0.998, -5.000, -40.000, 0.000, Forward, 4.11, 8.80, 72.0, 0.039
10000, 1/3, 0.529, -0.969, 0.703, -0.991, 0.753, -0.996, 0.746, -0.997, -5.000, -38.000, 0.000, Forward, 3.58, 9.26, 69.5, 0.043

full, 1/3, 1.291, -0.992, 1.552, -1.000, 0.000, 0.000, 1.545, -1.000, -5.000, -28.000, 0.000, Forward, 0.84, 3.02, 54.8, 0.081

