RT60 data saved by REW V5.31.3
Source: C:\Users\arias\Downloads\Aula Magna IR\aula-magna-acustica\datos\Globo IR (WAV)\Globo F2-P9.wav
Dated: Sep 21, 2026 8:04:32 PM
Measurement: Globo F2-P9
Sweep level: -12.0 dBFS
Response measured over: 0.2 to 24,000.0 Hz
Peak value: 1.0 at index 12923
Response length: 262144 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -0.26922916666666663 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 28.341, -0.958, 20.900, -0.873, 19.432, -0.827, 23.581, -0.917, -5.000, -20.000, 0.000, Forward, -11.36, -9.96, 6.8, 1.265
63, 1/3, 33.605, -0.934, 20.311, -0.842, 19.484, -0.832, 25.658, -0.888, -5.000, -20.000, 0.000, Forward, -11.32, -6.91, 6.9, 1.006
80, 1/3, 34.220, -0.938, 23.808, -0.844, 21.084, -0.806, 28.156, -0.905, -5.000, -20.000, 0.000, Forward, -16.54, -9.14, 2.2, 1.113
100, 1/3, 3.664, -0.980, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -5.000, -5.000, 0.000, Forward, -10.46, -4.54, 8.2, 0.272
125, 1/3, 2.208, -0.992, 0.000, 0.000, 0.000, 0.000, 2.006, -0.995, -5.000, -21.000, 0.000, Forward, -7.12, -1.72, 16.3, 0.178
160, 1/3, 1.537, -0.986, 1.743, -0.986, 0.000, 0.000, 1.731, -0.991, -5.000, -33.000, 0.000, Forward, -2.40, -1.77, 36.5, 0.138
200, 1/3, 1.193, -0.959, 1.929, -0.992, 1.697, -0.994, 1.699, -0.995, -5.000, -36.000, 0.000, Forward, -5.25, -4.20, 23.0, 0.138
250, 1/3, 1.324, -0.975, 1.663, -0.994, 1.680, -0.998, 1.644, -0.998, -5.000, -33.000, 0.000, Forward, -8.89, -3.46, 11.4, 0.143
315, 1/3, 1.818, -0.977, 1.489, -0.995, 1.582, -0.996, 1.565, -0.997, -5.000, -39.000, 0.000, Forward, -10.20, -2.85, 8.7, 0.166
400, 1/3, 1.441, -0.989, 1.578, -0.995, 1.659, -0.998, 1.661, -0.998, -5.000, -40.000, 0.000, Forward, -7.53, -1.42, 15.0, 0.128
500, 1/3, 1.735, -0.992, 1.504, -0.997, 1.594, -0.997, 1.601, -0.998, -5.000, -37.000, 0.000, Forward, -6.29, -2.23, 19.0, 0.150
630, 1/3, 1.778, -0.990, 1.513, -0.998, 1.620, -0.998, 1.616, -0.998, -5.000, -36.000, 0.000, Forward, -3.48, -1.97, 31.0, 0.139
800, 1/3, 1.607, -0.989, 1.771, -0.999, 1.755, -0.999, 1.763, -1.000, -5.000, -45.000, 0.000, Forward, -1.48, 2.19, 41.6, 0.105
1000, 1/3, 1.584, -0.994, 1.754, -0.998, 1.787, -0.999, 1.776, -0.999, -5.000, -34.000, 0.000, Forward, -2.62, 1.21, 35.4, 0.111
1250, 1/3, 1.647, -0.998, 1.700, -0.999, 1.792, -0.999, 1.707, -0.999, -5.000, -28.000, 0.000, Forward, -4.48, -1.44, 26.3, 0.135
1600, 1/3, 1.710, -0.997, 1.846, -1.000, 1.924, -0.999, 1.848, -1.000, -5.000, -26.000, 0.000, Forward, -3.58, -0.89, 30.5, 0.127
2000, 1/3, 1.641, -0.999, 1.842, -1.000, 1.878, -0.999, 1.844, -1.000, -5.000, -32.000, 0.000, Forward, -2.86, 0.26, 34.1, 0.119
2500, 1/3, 1.711, -0.998, 1.845, -1.000, 1.857, -1.000, 1.832, -1.000, -5.000, -32.000, 0.000, Forward, -2.94, -0.85, 33.7, 0.126
3150, 1/3, 1.640, -0.999, 1.824, -0.999, 1.805, -1.000, 1.798, -1.000, -5.000, -34.000, 0.000, Forward, -2.74, -0.49, 34.7, 0.119
4000, 1/3, 1.581, -0.998, 1.676, -1.000, 1.706, -1.000, 1.725, -1.000, -5.000, -45.000, 0.000, Forward, -3.14, -1.01, 32.7, 0.120
5000, 1/3, 1.385, -0.999, 1.468, -1.000, 1.508, -1.000, 1.486, -1.000, -5.000, -30.000, 0.000, Forward, -1.10, 1.38, 43.7, 0.096
6300, 1/3, 1.180, -0.998, 1.222, -1.000, 1.268, -0.999, 1.233, -1.000, -5.000, -29.000, 0.000, Forward, -1.30, 0.96, 42.6, 0.090
8000, 1/3, 0.991, -0.991, 1.004, -1.000, 1.029, -1.000, 1.020, -1.000, -5.000, -33.000, 0.000, Forward, -1.05, 1.05, 44.0, 0.078
10000, 1/3, 0.796, -0.986, 0.824, -0.998, 0.844, -0.999, 0.847, -0.999, -5.000, -40.000, 0.000, Forward, 0.43, 3.43, 52.5, 0.061

full, 1/3, 1.627, -0.999, 1.918, -0.999, 0.000, 0.000, 1.918, -0.999, -5.000, -27.000, 0.000, Forward, -4.38, -1.08, 26.7, 0.128

