RT60 data saved by REW V5.31.3
Source: C:\Users\arias\Downloads\Aula Magna IR\aula-magna-acustica\datos\Globo IR (WAV)\Globo F1-P9.wav
Dated: Sep 21, 2026 8:04:32 PM
Measurement: Globo F1-P9
Sweep level: -12.0 dBFS
Response measured over: 0.2 to 24,000.0 Hz
Peak value: 1.0 at index 27837
Response length: 262144 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -0.5799375 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 29.714, -0.869, 32.705, -0.892, 29.544, -0.783, 34.171, -0.933, -5.000, -20.000, 0.000, Forward, -11.07, -7.07, 7.3, 0.795
63, 1/3, 21.071, -0.919, 16.725, -0.899, 16.169, -0.886, 19.650, -0.924, -5.000, -20.000, 0.000, Forward, -15.35, -10.56, 2.8, 0.824
80, 1/3, 1.724, -0.988, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -5.000, -5.000, 0.000, Forward, -4.06, -0.01, 28.2, 0.164
100, 1/3, 1.674, -0.988, 0.000, 0.000, 0.000, 0.000, 1.770, -0.987, -5.000, -20.000, 0.000, Forward, -2.89, 0.07, 33.9, 0.144
125, 1/3, 1.399, -0.992, 1.792, -0.995, 0.000, 0.000, 1.821, -0.996, -5.000, -24.000, 0.000, Forward, -3.78, -0.52, 29.5, 0.143
160, 1/3, 2.382, -0.958, 1.381, -0.991, 0.000, 0.000, 1.226, -0.992, -5.000, -21.000, 0.000, Forward, -8.41, -0.40, 12.6, 0.176
200, 1/3, 2.111, -0.985, 1.638, -0.991, 1.721, -0.996, 1.710, -0.997, -5.000, -37.000, 0.000, Forward, -5.40, -0.91, 22.4, 0.160
250, 1/3, 1.534, -0.991, 1.624, -0.997, 1.684, -0.997, 1.598, -0.998, -5.000, -31.000, 0.000, Forward, -6.82, -3.60, 17.2, 0.150
315, 1/3, 1.615, -0.988, 1.579, -0.996, 1.803, -0.995, 1.621, -0.997, -5.000, -28.000, 0.000, Forward, -8.10, -4.87, 13.4, 0.159
400, 1/3, 1.828, -0.995, 1.692, -0.997, 1.588, -0.998, 1.596, -0.999, -5.000, -40.000, 0.000, Forward, -2.89, -1.55, 34.0, 0.147
500, 1/3, 1.743, -0.997, 1.507, -0.998, 1.609, -0.998, 1.601, -0.998, -5.000, -41.000, 0.000, Forward, -3.28, -1.09, 32.0, 0.139
630, 1/3, 1.491, -0.984, 1.636, -0.996, 1.592, -0.998, 1.596, -0.998, -5.000, -36.000, 0.000, Forward, -5.25, -2.29, 23.0, 0.137
800, 1/3, 1.861, -0.998, 1.578, -0.998, 1.582, -0.999, 1.589, -0.999, -5.000, -36.000, 0.000, Forward, -6.07, -1.50, 19.8, 0.149
1000, 1/3, 1.921, -0.998, 1.672, -0.999, 1.802, -0.998, 1.682, -0.999, -5.000, -26.000, 0.000, Forward, -2.52, 0.11, 35.9, 0.128
1250, 1/3, 1.592, -0.994, 1.718, -0.999, 1.814, -0.999, 1.819, -0.999, -5.000, -36.000, 0.000, Forward, -0.06, 1.49, 49.7, 0.103
1600, 1/3, 1.679, -0.998, 1.754, -0.999, 1.862, -0.999, 1.919, -0.999, -5.000, -47.000, 0.000, Forward, -2.48, 0.14, 36.1, 0.116
2000, 1/3, 1.867, -0.999, 1.668, -0.999, 1.785, -0.999, 1.668, -0.999, -5.000, -25.000, 0.000, Forward, -3.00, -0.30, 33.4, 0.126
2500, 1/3, 1.923, -0.998, 1.693, -0.999, 1.777, -0.999, 1.705, -0.999, -5.000, -29.000, 0.000, Forward, -2.76, -0.40, 34.6, 0.136
3150, 1/3, 1.670, -0.988, 1.713, -1.000, 1.724, -1.000, 1.740, -1.000, -5.000, -41.000, 0.000, Forward, 0.28, 2.20, 51.6, 0.100
4000, 1/3, 1.699, -0.999, 1.562, -0.999, 1.608, -0.999, 1.619, -1.000, -5.000, -38.000, 0.000, Forward, -2.64, 0.00, 35.2, 0.120
5000, 1/3, 1.405, -0.999, 1.358, -1.000, 1.417, -0.999, 1.370, -1.000, -5.000, -28.000, 0.000, Forward, -1.60, 1.20, 40.9, 0.098
6300, 1/3, 1.151, -0.997, 1.152, -0.999, 1.205, -0.999, 1.217, -1.000, -5.000, -42.000, 0.000, Forward, -0.48, 1.83, 47.3, 0.083
8000, 1/3, 0.941, -0.999, 0.941, -0.999, 0.954, -1.000, 0.935, -1.000, -5.000, -30.000, 0.000, Forward, 0.32, 3.11, 51.8, 0.069
10000, 1/3, 0.730, -0.998, 0.724, -0.999, 0.771, -0.999, 0.713, -0.999, -5.000, -23.000, 0.000, Forward, 2.83, 5.93, 65.7, 0.048

full, 1/3, 1.735, -1.000, 1.748, -1.000, 0.000, 0.000, 1.702, -1.000, -5.000, -20.000, 0.000, Forward, -2.76, -0.29, 34.6, 0.123

