RT60 data saved by REW V5.31.3
Source: C:\Users\arias\Downloads\Aula Magna IR\aula-magna-acustica\datos\Globo IR (WAV)\Globo F1-P5.wav
Dated: Sep 21, 2026 8:04:32 PM
Measurement: Globo F1-P5
Sweep level: -12.0 dBFS
Response measured over: 0.2 to 24,000.0 Hz
Peak value: 1.0 at index 56223
Response length: 262144 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -1.1713125 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 2.240, -0.987, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -5.000, -5.000, 0.000, Forward, -7.69, -3.00, 14.5, 0.228
63, 1/3, 0.959, -0.885, 0.000, 0.000, 0.000, 0.000, 0.626, -0.985, -5.000, -24.000, 0.000, Forward, -1.87, 5.34, 39.4, 0.107
80, 1/3, 1.272, -0.966, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -5.000, -5.000, 0.000, Forward, -3.93, 1.60, 28.8, 0.132
100, 1/3, 1.502, -0.970, 1.124, -0.981, 0.000, 0.000, 1.124, -0.981, -5.000, -25.000, 0.000, Forward, -7.68, -3.37, 14.6, 0.149
125, 1/3, 1.458, -0.972, 2.072, -0.994, 0.000, 0.000, 2.072, -0.994, -5.000, -25.000, 0.000, Forward, -12.16, -3.12, 5.7, 0.159
160, 1/3, 1.301, -0.985, 2.036, -0.994, 1.931, -0.997, 1.931, -0.997, -5.000, -35.000, 0.000, Forward, -4.32, 2.89, 27.0, 0.125
200, 1/3, 1.285, -0.963, 1.725, -0.996, 1.709, -0.998, 1.688, -0.999, -5.000, -42.000, 0.000, Forward, 2.27, 5.24, 62.8, 0.094
250, 1/3, 0.954, -0.992, 1.532, -0.982, 1.560, -0.994, 1.659, -0.996, -5.000, -47.000, 0.000, Forward, -1.22, 3.00, 43.0, 0.091
315, 1/3, 1.378, -0.984, 1.702, -0.998, 1.705, -0.999, 1.720, -0.999, -5.000, -39.000, 0.000, Forward, 1.70, 3.06, 59.7, 0.098
400, 1/3, 1.734, -0.992, 1.525, -0.996, 1.542, -0.998, 1.579, -0.999, -5.000, -46.000, 0.000, Forward, -2.34, 0.98, 36.9, 0.124
500, 1/3, 1.493, -0.966, 1.710, -0.995, 1.531, -0.996, 1.567, -0.998, -5.000, -46.000, 0.000, Forward, 0.61, 3.83, 53.5, 0.101
630, 1/3, 1.358, -0.983, 1.716, -0.997, 1.683, -0.998, 1.711, -0.998, -5.000, -42.000, 0.000, Forward, -1.52, 2.36, 41.4, 0.100
800, 1/3, 1.702, -0.987, 1.683, -0.997, 1.754, -0.998, 1.767, -0.999, -5.000, -40.000, 0.000, Forward, -0.45, 1.92, 47.4, 0.102
1000, 1/3, 1.352, -0.971, 1.746, -0.999, 1.798, -0.999, 1.781, -0.999, -5.000, -33.000, 0.000, Forward, 1.02, 3.53, 55.8, 0.084
1250, 1/3, 1.508, -0.997, 1.766, -0.999, 1.851, -0.999, 1.788, -0.999, -5.000, -30.000, 0.000, Forward, -0.26, 2.41, 48.5, 0.093
1600, 1/3, 1.576, -0.998, 1.782, -0.999, 1.768, -0.999, 1.768, -0.999, -5.000, -35.000, 0.000, Forward, -4.61, -0.31, 25.7, 0.128
2000, 1/3, 1.513, -0.998, 1.826, -0.999, 1.796, -0.999, 1.802, -1.000, -5.000, -37.000, 0.000, Forward, -1.87, 1.18, 39.4, 0.109
2500, 1/3, 1.645, -0.983, 1.639, -0.999, 1.725, -0.999, 1.686, -0.999, -5.000, -32.000, 0.000, Forward, 1.20, 3.24, 56.9, 0.086
3150, 1/3, 1.361, -0.976, 1.643, -0.999, 1.699, -0.999, 1.679, -0.999, -5.000, -32.000, 0.000, Forward, 1.56, 3.95, 58.9, 0.080
4000, 1/3, 1.267, -0.987, 1.546, -0.999, 1.654, -0.999, 1.536, -0.999, -5.000, -24.000, 0.000, Forward, 1.59, 4.01, 59.0, 0.074
5000, 1/3, 1.297, -0.996, 1.382, -1.000, 1.449, -0.999, 1.378, -1.000, -5.000, -29.000, 0.000, Forward, -0.36, 2.50, 47.9, 0.089
6300, 1/3, 1.053, -0.996, 1.185, -0.999, 1.238, -0.999, 1.159, -1.000, -5.000, -22.000, 0.000, Forward, 0.09, 3.28, 50.5, 0.079
8000, 1/3, 0.735, -0.997, 0.953, -0.999, 1.015, -0.999, 0.961, -0.999, -5.000, -27.000, 0.000, Forward, 2.27, 5.36, 62.8, 0.055
10000, 1/3, 0.556, -0.997, 0.737, -0.999, 0.786, -0.999, 0.731, -0.999, -5.000, -24.000, 0.000, Forward, 3.51, 7.69, 69.2, 0.045

full, 1/3, 1.385, -0.992, 1.780, -0.999, 0.000, 0.000, 1.705, -1.000, -5.000, -20.000, 0.000, Forward, -0.07, 2.84, 49.6, 0.091

