RT60 data saved by REW V5.31.3
Source: C:\Users\arias\Downloads\Aula Magna IR\aula-magna-acustica\datos\Globo IR (WAV)\Globo F2-P7.wav
Dated: Sep 21, 2026 8:04:32 PM
Measurement: Globo F2-P7
Sweep level: -12.0 dBFS
Response measured over: 0.2 to 24,000.0 Hz
Peak value: 1.0 at index 48734
Response length: 262144 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -1.0152916666666667 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 34.125, -0.886, 18.017, -0.761, 16.660, -0.744, 23.940, -0.790, -5.000, -20.000, 0.000, Forward, -9.16, -4.15, 10.8, 0.812
63, 1/3, 25.611, -0.941, 16.042, -0.898, 14.848, -0.836, 16.841, -0.925, -5.000, -20.000, 0.000, Forward, -9.62, -5.49, 9.8, 0.840
80, 1/3, 21.955, -0.914, 17.065, -0.904, 14.539, -0.829, 18.821, -0.941, -5.000, -20.000, 0.000, Forward, -14.57, -10.05, 3.4, 0.717
100, 1/3, 1.229, -0.968, 0.000, 0.000, 0.000, 0.000, 1.189, -0.989, -5.000, -20.000, 0.000, Forward, -6.80, 2.07, 17.3, 0.128
125, 1/3, 1.761, -0.955, 0.000, 0.000, 0.000, 0.000, 1.288, -0.968, -5.000, -21.000, 0.000, Forward, -8.51, -4.10, 12.3, 0.168
160, 1/3, 1.411, -0.984, 1.876, -0.995, 0.000, 0.000, 1.770, -0.996, -5.000, -22.000, 0.000, Forward, -8.35, -2.53, 12.8, 0.145
200, 1/3, 1.335, -0.959, 1.689, -0.990, 1.761, -0.993, 1.497, -0.993, -5.000, -22.000, 0.000, Forward, -8.12, -3.03, 13.3, 0.145
250, 1/3, 1.381, -0.988, 1.433, -0.996, 1.540, -0.998, 1.460, -0.998, -5.000, -29.000, 0.000, Forward, -4.27, 1.15, 27.2, 0.120
315, 1/3, 1.129, -0.965, 1.908, -0.995, 1.836, -0.998, 1.836, -0.998, -5.000, -35.000, 0.000, Forward, -5.63, -1.91, 21.5, 0.118
400, 1/3, 1.236, -0.993, 1.548, -0.998, 1.667, -0.998, 1.672, -0.999, -5.000, -44.000, 0.000, Forward, -4.45, 1.40, 26.4, 0.111
500, 1/3, 1.484, -0.994, 1.637, -0.998, 1.575, -0.999, 1.603, -0.999, -5.000, -43.000, 0.000, Forward, -2.72, 1.84, 34.9, 0.109
630, 1/3, 1.078, -0.988, 1.570, -0.997, 1.608, -0.999, 1.610, -0.999, -5.000, -37.000, 0.000, Forward, -4.29, 1.26, 27.1, 0.098
800, 1/3, 1.110, -0.993, 1.668, -0.998, 1.682, -0.999, 1.682, -0.999, -5.000, -35.000, 0.000, Forward, -1.96, 1.56, 38.9, 0.093
1000, 1/3, 1.310, -0.988, 1.737, -0.999, 1.797, -0.999, 1.770, -0.999, -5.000, -33.000, 0.000, Forward, -3.69, -0.45, 29.9, 0.109
1250, 1/3, 1.212, -0.995, 1.615, -0.998, 1.730, -0.998, 1.757, -0.999, -5.000, -42.000, 0.000, Forward, -3.18, 1.09, 32.5, 0.101
1600, 1/3, 1.179, -0.989, 1.754, -0.998, 1.755, -0.999, 1.810, -1.000, -5.000, -52.000, 0.000, Forward, -2.43, 0.90, 36.4, 0.100
2000, 1/3, 1.460, -0.994, 1.716, -0.999, 1.790, -0.999, 1.796, -1.000, -5.000, -39.000, 0.000, Forward, -3.24, -0.37, 32.2, 0.115
2500, 1/3, 1.554, -0.998, 1.720, -1.000, 1.786, -1.000, 1.720, -1.000, -5.000, -25.000, 0.000, Forward, -0.96, 0.99, 44.5, 0.102
3150, 1/3, 1.450, -0.998, 1.660, -1.000, 1.683, -1.000, 1.659, -1.000, -5.000, -30.000, 0.000, Forward, -1.69, 0.92, 40.4, 0.104
4000, 1/3, 1.323, -0.997, 1.537, -0.999, 1.601, -0.999, 1.577, -1.000, -5.000, -32.000, 0.000, Forward, -2.08, 1.03, 38.3, 0.100
5000, 1/3, 0.975, -0.997, 1.378, -0.998, 1.458, -0.999, 1.435, -0.999, -5.000, -33.000, 0.000, Forward, 0.78, 3.78, 54.5, 0.071
6300, 1/3, 0.949, -0.996, 1.144, -0.999, 1.218, -0.999, 1.149, -1.000, -5.000, -27.000, 0.000, Forward, 0.78, 3.98, 54.5, 0.066
8000, 1/3, 0.828, -0.993, 0.937, -0.999, 1.022, -0.998, 0.937, -0.999, -5.000, -25.000, 0.000, Forward, -0.89, 3.65, 44.9, 0.071
10000, 1/3, 0.726, -0.996, 0.746, -0.999, 0.790, -0.999, 0.755, -0.999, -5.000, -28.000, 0.000, Forward, 1.51, 5.57, 58.6, 0.055

full, 1/3, 1.302, -0.998, 1.844, -0.999, 0.000, 0.000, 1.842, -0.999, -5.000, -27.000, 0.000, Forward, -2.90, 0.70, 33.9, 0.103

