RT60 data saved by REW V5.31.3
Source: C:\Users\arias\Downloads\Aula Magna IR\aula-magna-acustica\datos\Globo IR (WAV)\Globo F2-P2.wav
Dated: Sep 21, 2026 8:04:32 PM
Measurement: Globo F2-P2
Sweep level: -12.0 dBFS
Response measured over: 0.2 to 24,000.0 Hz
Peak value: 1.0 at index 51895
Response length: 262144 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -1.0811458333333333 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 2.030, -0.964, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -5.000, -5.000, 0.000, Forward, -7.74, -1.05, 14.4, 0.192
63, 1/3, 1.472, -0.963, 0.000, 0.000, 0.000, 0.000, 1.204, -0.942, -5.000, -20.000, 0.000, Forward, -4.84, -3.06, 24.7, 0.159
80, 1/3, 1.224, -0.955, 0.000, 0.000, 0.000, 0.000, 1.230, -0.979, -5.000, -24.000, 0.000, Forward, -3.91, 1.03, 28.9, 0.130
100, 1/3, 1.437, -0.972, 1.778, -0.991, 0.000, 0.000, 1.754, -0.991, -5.000, -26.000, 0.000, Forward, -6.29, 0.85, 19.0, 0.146
125, 1/3, 1.841, -0.991, 1.775, -0.996, 0.000, 0.000, 1.772, -0.996, -5.000, -26.000, 0.000, Forward, -6.59, -3.34, 18.0, 0.175
160, 1/3, 1.359, -0.984, 1.658, -0.991, 1.799, -0.995, 1.799, -0.995, -5.000, -35.000, 0.000, Forward, -8.09, -2.13, 13.4, 0.140
200, 1/3, 1.607, -0.989, 1.631, -0.995, 1.590, -0.995, 1.644, -0.997, -5.000, -32.000, 0.000, Forward, -6.01, -0.84, 20.0, 0.146
250, 1/3, 1.615, -0.981, 1.463, -0.994, 1.502, -0.998, 1.502, -0.998, -5.000, -35.000, 0.000, Forward, -3.57, -1.05, 30.5, 0.135
315, 1/3, 1.734, -0.975, 1.532, -0.991, 1.712, -0.994, 1.726, -0.996, -5.000, -43.000, 0.000, Forward, 1.04, 3.51, 55.9, 0.107
400, 1/3, 1.261, -0.986, 1.547, -0.995, 1.829, -0.994, 1.402, -0.998, -5.000, -20.000, 0.000, Forward, -5.49, -1.14, 22.0, 0.120
500, 1/3, 1.513, -0.996, 1.704, -0.998, 1.705, -0.999, 1.711, -0.999, -5.000, -36.000, 0.000, Forward, -2.73, -0.27, 34.8, 0.121
630, 1/3, 1.391, -0.992, 1.619, -0.998, 1.665, -0.999, 1.637, -0.999, -5.000, -32.000, 0.000, Forward, -1.57, 2.12, 41.1, 0.094
800, 1/3, 1.694, -0.990, 1.657, -0.996, 1.723, -0.998, 1.735, -0.999, -5.000, -37.000, 0.000, Forward, -1.75, -0.12, 40.1, 0.118
1000, 1/3, 1.900, -0.996, 1.708, -0.999, 1.759, -0.999, 1.716, -0.999, -5.000, -30.000, 0.000, Forward, -3.17, -0.53, 32.5, 0.135
1250, 1/3, 1.871, -0.991, 1.717, -0.997, 1.759, -0.999, 1.758, -0.999, -5.000, -39.000, 0.000, Forward, 0.15, 1.57, 50.8, 0.100
1600, 1/3, 1.685, -0.997, 1.688, -0.999, 1.724, -0.999, 1.732, -1.000, -5.000, -37.000, 0.000, Forward, -2.82, 0.26, 34.3, 0.118
2000, 1/3, 1.663, -0.998, 1.656, -1.000, 1.782, -0.999, 1.640, -1.000, -5.000, -24.000, 0.000, Forward, -3.54, -1.20, 30.7, 0.125
2500, 1/3, 1.554, -0.997, 1.735, -0.999, 1.753, -0.999, 1.776, -1.000, -5.000, -41.000, 0.000, Forward, -1.79, 1.55, 39.8, 0.103
3150, 1/3, 1.767, -0.994, 1.610, -0.999, 1.684, -0.999, 1.630, -1.000, -5.000, -29.000, 0.000, Forward, 0.35, 1.91, 52.0, 0.097
4000, 1/3, 1.609, -0.999, 1.591, -0.999, 1.580, -1.000, 1.589, -1.000, -5.000, -38.000, 0.000, Forward, -0.45, 1.40, 47.4, 0.101
5000, 1/3, 1.274, -0.998, 1.454, -1.000, 1.428, -1.000, 1.432, -1.000, -5.000, -40.000, 0.000, Forward, -0.07, 1.94, 49.6, 0.088
6300, 1/3, 1.127, -0.996, 1.216, -0.999, 1.228, -1.000, 1.230, -1.000, -5.000, -39.000, 0.000, Forward, 2.66, 4.67, 64.8, 0.057
8000, 1/3, 0.879, -0.999, 0.989, -1.000, 1.005, -1.000, 0.996, -1.000, -5.000, -33.000, 0.000, Forward, 2.22, 4.67, 62.5, 0.058
10000, 1/3, 0.750, -0.998, 0.770, -1.000, 0.797, -1.000, 0.766, -1.000, -5.000, -24.000, 0.000, Forward, 3.13, 5.97, 67.3, 0.047

full, 1/3, 1.599, -0.999, 1.722, -0.999, 0.000, 0.000, 1.722, -1.000, -5.000, -30.000, 0.000, Forward, -1.81, 0.78, 39.7, 0.106

