RT60 data saved by REW V5.31.3
Source: C:\Users\arias\Downloads\Aula Magna IR\aula-magna-acustica\datos\Globo IR (WAV)\Globo F2-P8.wav
Dated: Sep 21, 2026 8:04:32 PM
Measurement: Globo F2-P8
Sweep level: -12.0 dBFS
Response measured over: 0.1 to 24,000.0 Hz
Peak value: 1.0 at index 134018
Response length: 524288 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -2.7920416666666665 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 41.377, -0.954, 14.910, -0.854, 10.627, -0.818, 17.889, -0.905, -5.000, -20.000, 0.000, Forward, -20.99, -12.78, 0.8, 1.530
63, 1/3, 1.942, -0.938, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -5.000, -5.000, 0.000, Forward, -9.41, -8.75, 10.3, 0.193
80, 1/3, 1.966, -0.964, 0.000, 0.000, 0.000, 0.000, 1.866, -0.981, -5.000, -22.000, 0.000, Forward, -10.86, -7.56, 7.6, 0.195
100, 1/3, 1.484, -0.982, 0.000, 0.000, 0.000, 0.000, 1.572, -0.997, -5.000, -22.000, 0.000, Forward, -9.91, -3.64, 9.3, 0.161
125, 1/3, 2.235, -0.975, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -5.000, -5.000, 0.000, Forward, -12.34, -5.06, 5.5, 0.223
160, 1/3, 2.217, -0.984, 1.677, -0.987, 0.000, 0.000, 1.771, -0.993, -5.000, -33.000, 0.000, Forward, -5.23, -1.09, 23.1, 0.160
200, 1/3, 1.814, -0.963, 1.484, -0.986, 1.506, -0.994, 1.516, -0.996, -5.000, -42.000, 0.000, Forward, 0.32, 2.37, 51.8, 0.117
250, 1/3, 1.215, -0.979, 1.479, -0.989, 1.588, -0.994, 1.598, -0.996, -5.000, -43.000, 0.000, Forward, -4.83, -0.70, 24.7, 0.122
315, 1/3, 1.406, -0.988, 1.378, -0.988, 1.407, -0.995, 1.375, -0.995, -5.000, -38.000, 0.000, Forward, -8.04, -2.25, 13.6, 0.131
400, 1/3, 1.722, -0.985, 1.767, -0.997, 1.818, -0.998, 1.780, -0.999, -5.000, -34.000, 0.000, Forward, -3.43, 1.23, 31.2, 0.128
500, 1/3, 1.821, -0.991, 1.781, -0.995, 1.679, -0.997, 1.730, -0.998, -5.000, -44.000, 0.000, Forward, -1.48, -0.28, 41.6, 0.125
630, 1/3, 1.537, -0.995, 1.778, -0.999, 1.749, -0.999, 1.733, -0.999, -5.000, -34.000, 0.000, Forward, -2.57, -1.41, 35.6, 0.125
800, 1/3, 1.440, -0.989, 1.728, -0.996, 1.800, -0.998, 1.843, -0.999, -5.000, -45.000, 0.000, Forward, -5.82, -4.07, 20.7, 0.137
1000, 1/3, 1.859, -0.996, 1.704, -0.997, 1.830, -0.998, 1.786, -0.998, -5.000, -33.000, 0.000, Forward, -2.42, -0.29, 36.4, 0.128
1250, 1/3, 1.772, -0.998, 1.885, -0.999, 1.841, -0.999, 1.860, -1.000, -5.000, -47.000, 0.000, Forward, -3.97, -1.13, 28.6, 0.135
1600, 1/3, 1.723, -0.998, 1.788, -0.999, 1.835, -0.999, 1.841, -0.999, -5.000, -36.000, 0.000, Forward, -1.76, 0.14, 40.0, 0.122
2000, 1/3, 1.801, -0.998, 1.842, -0.998, 1.914, -0.999, 1.920, -0.999, -5.000, -40.000, 0.000, Forward, -2.45, -0.56, 36.3, 0.130
2500, 1/3, 1.783, -0.996, 1.792, -0.999, 1.855, -0.999, 1.813, -0.999, -5.000, -30.000, 0.000, Forward, -1.70, -0.06, 40.3, 0.119
3150, 1/3, 1.692, -0.999, 1.713, -0.998, 1.769, -0.999, 1.790, -0.999, -5.000, -40.000, 0.000, Forward, -3.18, -0.18, 32.5, 0.124
4000, 1/3, 1.452, -0.999, 1.611, -1.000, 1.607, -1.000, 1.602, -1.000, -5.000, -33.000, 0.000, Forward, -1.73, 0.59, 40.2, 0.108
5000, 1/3, 1.484, -0.999, 1.432, -0.999, 1.426, -1.000, 1.431, -1.000, -5.000, -38.000, 0.000, Forward, -2.07, 0.58, 38.3, 0.107
6300, 1/3, 1.140, -0.998, 1.200, -1.000, 1.217, -1.000, 1.216, -1.000, -5.000, -41.000, 0.000, Forward, -0.92, 1.22, 44.7, 0.088
8000, 1/3, 0.935, -0.998, 0.972, -1.000, 0.997, -1.000, 0.980, -1.000, -5.000, -31.000, 0.000, Forward, 0.33, 3.22, 51.9, 0.072
10000, 1/3, 0.721, -0.996, 0.750, -1.000, 0.770, -0.999, 0.753, -1.000, -5.000, -31.000, 0.000, Forward, 1.50, 4.78, 58.6, 0.058

full, 1/3, 1.621, -0.999, 1.904, -0.999, 0.000, 0.000, 1.816, -0.999, -5.000, -20.000, 0.000, Forward, -2.99, -0.48, 33.4, 0.121

