RT60 data saved by REW V5.31.3
Source: C:\Users\arias\Downloads\Aula Magna IR\aula-magna-acustica\datos\Globo IR (WAV)\Globo F1-P4.wav
Dated: Sep 21, 2026 8:04:32 PM
Measurement: Globo F1-P4
Sweep level: -12.0 dBFS
Response measured over: 0.2 to 24,000.0 Hz
Peak value: 1.0 at index 25378
Response length: 262144 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -0.5287083333333333 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 1.830, -0.973, 0.000, 0.000, 0.000, 0.000, 1.997, -0.977, -5.000, -20.000, 0.000, Forward, -2.24, 2.27, 37.4, 0.161
63, 1/3, 1.146, -0.887, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -5.000, -5.000, 0.000, Forward, -6.32, 0.91, 18.9, 0.126
80, 1/3, 1.373, -0.983, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -5.000, -5.000, 0.000, Forward, -5.47, 0.43, 22.1, 0.144
100, 1/3, 2.208, -0.974, 0.000, 0.000, 0.000, 0.000, 1.578, -0.988, -5.000, -20.000, 0.000, Forward, -10.58, -4.92, 8.0, 0.217
125, 1/3, 2.310, -0.975, 0.000, 0.000, 0.000, 0.000, 2.411, -0.989, -5.000, -24.000, 0.000, Forward, -8.49, -4.15, 12.4, 0.229
160, 1/3, 1.495, -0.992, 1.779, -0.987, 0.000, 0.000, 1.799, -0.994, -5.000, -33.000, 0.000, Forward, -8.06, -1.06, 13.5, 0.152
200, 1/3, 1.727, -0.993, 1.668, -0.994, 1.780, -0.997, 1.768, -0.997, -5.000, -39.000, 0.000, Forward, -3.39, -0.51, 31.4, 0.144
250, 1/3, 1.382, -0.982, 1.483, -0.993, 1.634, -0.996, 1.663, -0.996, -5.000, -36.000, 0.000, Forward, -2.92, -0.80, 33.8, 0.122
315, 1/3, 2.246, -0.997, 1.578, -0.996, 1.691, -0.998, 1.717, -0.998, -5.000, -43.000, 0.000, Forward, -3.99, -1.69, 28.5, 0.164
400, 1/3, 1.561, -0.997, 1.700, -0.998, 1.658, -0.999, 1.683, -0.999, -5.000, -42.000, 0.000, Forward, -2.58, 0.20, 35.6, 0.120
500, 1/3, 1.452, -0.994, 1.711, -0.997, 1.683, -0.998, 1.628, -0.999, -5.000, -49.000, 0.000, Forward, -3.88, -0.81, 29.1, 0.128
630, 1/3, 1.619, -0.987, 1.565, -0.997, 1.583, -0.999, 1.601, -0.999, -5.000, -40.000, 0.000, Forward, 0.12, 1.42, 50.7, 0.107
800, 1/3, 1.420, -0.997, 1.814, -0.998, 1.833, -0.999, 1.817, -1.000, -5.000, -48.000, 0.000, Forward, -1.71, 0.44, 40.3, 0.110
1000, 1/3, 1.796, -0.995, 1.790, -0.999, 1.732, -0.999, 1.741, -0.999, -5.000, -39.000, 0.000, Forward, -2.57, -0.48, 35.6, 0.123
1250, 1/3, 1.800, -0.996, 1.746, -0.999, 1.783, -0.999, 1.732, -0.999, -5.000, -31.000, 0.000, Forward, -3.41, -0.33, 31.3, 0.129
1600, 1/3, 1.357, -0.997, 1.784, -0.999, 1.774, -0.999, 1.798, -1.000, -5.000, -42.000, 0.000, Forward, -1.93, 1.79, 39.0, 0.099
2000, 1/3, 1.612, -0.997, 1.717, -0.999, 1.769, -1.000, 1.818, -1.000, -5.000, -47.000, 0.000, Forward, -1.77, 0.95, 39.9, 0.108
2500, 1/3, 1.649, -0.993, 1.740, -1.000, 1.756, -1.000, 1.747, -1.000, -5.000, -33.000, 0.000, Forward, -1.83, 1.08, 39.6, 0.111
3150, 1/3, 1.584, -0.994, 1.725, -0.999, 1.701, -1.000, 1.701, -1.000, -5.000, -35.000, 0.000, Forward, -0.74, 1.63, 45.8, 0.100
4000, 1/3, 1.542, -0.999, 1.590, -0.999, 1.596, -1.000, 1.596, -1.000, -5.000, -35.000, 0.000, Forward, -0.75, 1.58, 45.7, 0.099
5000, 1/3, 1.236, -0.992, 1.398, -0.999, 1.408, -1.000, 1.415, -1.000, -5.000, -38.000, 0.000, Forward, 2.31, 3.76, 63.0, 0.066
6300, 1/3, 0.950, -0.994, 1.186, -0.999, 1.210, -1.000, 1.200, -1.000, -5.000, -33.000, 0.000, Forward, 3.01, 4.95, 66.7, 0.056
8000, 1/3, 0.724, -0.994, 0.973, -0.999, 0.978, -1.000, 0.982, -1.000, -5.000, -37.000, 0.000, Forward, 3.72, 6.08, 70.2, 0.047
10000, 1/3, 0.570, -0.997, 0.755, -0.999, 0.778, -0.999, 0.800, -1.000, -5.000, -48.000, 0.000, Forward, 4.19, 8.06, 72.4, 0.040

full, 1/3, 1.569, -0.998, 1.759, -1.000, 0.000, 0.000, 1.709, -1.000, -5.000, -20.000, 0.000, Forward, -1.51, 1.04, 41.4, 0.105

