RT60 data saved by REW V5.31.3
Source: C:\Users\arias\Downloads\Aula Magna IR\aula-magna-acustica\datos\Globo IR (WAV)\Globo F2-P4.wav
Dated: Sep 21, 2026 8:04:32 PM
Measurement: Globo F2-P4
Sweep level: -12.0 dBFS
Response measured over: 0.2 to 24,000.0 Hz
Peak value: 1.0 at index 37636
Response length: 262144 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -0.7840833333333334 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 1.118, -0.883, 0.000, 0.000, 0.000, 0.000, 0.762, -0.975, -5.000, -23.000, 0.000, Forward, -2.35, 3.81, 36.8, 0.120
63, 1/3, 1.072, -0.873, 0.817, -0.978, 0.000, 0.000, 0.791, -0.982, -5.000, -26.000, 0.000, Forward, -3.08, 3.50, 33.0, 0.123
80, 1/3, 1.033, -0.968, 1.406, -0.992, 0.000, 0.000, 1.409, -0.992, -5.000, -24.000, 0.000, Forward, -2.58, 2.53, 35.6, 0.119
100, 1/3, 1.506, -0.992, 1.645, -0.979, 0.000, 0.000, 1.584, -0.985, -5.000, -30.000, 0.000, Forward, 0.18, 2.06, 51.1, 0.127
125, 1/3, 1.271, -0.964, 1.540, -0.989, 0.000, 0.000, 1.534, -0.989, -5.000, -27.000, 0.000, Forward, -4.68, -1.71, 25.4, 0.135
160, 1/3, 1.842, -0.985, 1.620, -0.989, 1.621, -0.995, 1.617, -0.995, -5.000, -36.000, 0.000, Forward, -9.30, -7.37, 10.5, 0.175
200, 1/3, 1.452, -0.994, 1.700, -0.998, 1.646, -0.999, 1.639, -0.999, -5.000, -40.000, 0.000, Forward, -2.14, 1.03, 37.9, 0.122
250, 1/3, 1.837, -0.992, 1.643, -0.996, 1.644, -0.998, 1.638, -0.998, -5.000, -41.000, 0.000, Forward, -4.35, -2.49, 26.9, 0.153
315, 1/3, 1.226, -0.990, 1.658, -0.995, 1.576, -0.997, 1.576, -0.997, -5.000, -35.000, 0.000, Forward, -3.16, 0.38, 32.6, 0.107
400, 1/3, 1.195, -0.996, 1.587, -0.994, 1.727, -0.996, 1.787, -0.998, -5.000, -48.000, 0.000, Forward, -2.31, 1.11, 37.0, 0.103
500, 1/3, 1.330, -0.977, 1.757, -0.991, 1.714, -0.997, 1.763, -0.999, -5.000, -47.000, 0.000, Forward, -3.55, 0.15, 30.6, 0.106
630, 1/3, 1.481, -0.988, 1.506, -0.996, 1.601, -0.998, 1.687, -0.998, -5.000, -47.000, 0.000, Forward, -1.16, 0.70, 43.4, 0.104
800, 1/3, 1.537, -0.997, 1.622, -0.999, 1.657, -1.000, 1.658, -1.000, -5.000, -36.000, 0.000, Forward, -2.15, 1.22, 37.9, 0.111
1000, 1/3, 1.422, -0.987, 1.723, -0.998, 1.756, -0.999, 1.772, -0.999, -5.000, -40.000, 0.000, Forward, -1.16, 1.73, 43.4, 0.097
1250, 1/3, 1.318, -0.984, 1.758, -0.999, 1.765, -1.000, 1.767, -1.000, -5.000, -38.000, 0.000, Forward, -3.81, -0.22, 29.4, 0.106
1600, 1/3, 1.449, -0.993, 1.735, -0.999, 1.741, -1.000, 1.747, -1.000, -5.000, -39.000, 0.000, Forward, -4.23, -0.43, 27.4, 0.109
2000, 1/3, 1.378, -0.997, 1.769, -0.998, 1.764, -0.999, 1.784, -1.000, -5.000, -43.000, 0.000, Forward, -2.45, 0.40, 36.2, 0.102
2500, 1/3, 1.340, -0.988, 1.756, -0.999, 1.786, -1.000, 1.786, -1.000, -5.000, -44.000, 0.000, Forward, 1.96, 4.29, 61.1, 0.073
3150, 1/3, 1.219, -0.990, 1.650, -0.999, 1.732, -0.999, 1.769, -0.999, -5.000, -43.000, 0.000, Forward, 2.03, 4.25, 61.5, 0.069
4000, 1/3, 1.310, -0.993, 1.546, -1.000, 1.562, -1.000, 1.548, -1.000, -5.000, -32.000, 0.000, Forward, -1.23, 2.52, 43.0, 0.090
5000, 1/3, 1.072, -0.996, 1.378, -1.000, 1.381, -1.000, 1.364, -1.000, -5.000, -32.000, 0.000, Forward, 0.99, 3.99, 55.7, 0.068
6300, 1/3, 1.006, -0.998, 1.161, -1.000, 1.165, -1.000, 1.151, -1.000, -5.000, -31.000, 0.000, Forward, 0.09, 3.59, 50.5, 0.071
8000, 1/3, 0.741, -0.999, 0.894, -0.999, 0.911, -1.000, 0.914, -1.000, -5.000, -36.000, 0.000, Forward, 2.50, 5.94, 64.0, 0.049
10000, 1/3, 0.595, -0.997, 0.724, -0.998, 0.763, -0.999, 0.772, -0.999, -5.000, -38.000, 0.000, Forward, 3.22, 7.25, 67.7, 0.043

full, 1/3, 1.329, -0.998, 1.781, -0.999, 0.000, 0.000, 1.798, -0.999, -5.000, -28.000, 0.000, Forward, -0.62, 2.03, 46.4, 0.088

