RT60 data saved by REW V5.31.3
Source: C:\Users\arias\Downloads\Aula Magna IR\aula-magna-acustica\datos\Globo IR (WAV)\Globo F1-P6.wav
Dated: Sep 21, 2026 8:04:32 PM
Measurement: Globo F1-P6
Sweep level: -12.0 dBFS
Response measured over: 0.1 to 24,000.0 Hz
Peak value: 1.0 at index 117409
Response length: 524288 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -2.4460208333333333 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 3.192, -0.973, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -5.000, -5.000, 0.000, Forward, -1.85, -1.00, 39.5, 0.278
63, 1/3, 47.474, -0.966, 19.341, -0.862, 18.032, -0.831, 20.983, -0.881, -5.000, -20.000, 0.000, Forward, -10.87, -10.61, 7.6, 1.831
80, 1/3, 1.338, -0.942, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -5.000, -5.000, 0.000, Forward, -8.70, -5.08, 11.9, 0.148
100, 1/3, 1.739, -0.983, 0.000, 0.000, 0.000, 0.000, 1.669, -0.984, -5.000, -20.000, 0.000, Forward, -7.01, -1.45, 16.6, 0.162
125, 1/3, 1.707, -0.970, 1.886, -0.994, 0.000, 0.000, 1.886, -0.994, -5.000, -25.000, 0.000, Forward, -13.50, -7.87, 4.3, 0.196
160, 1/3, 1.380, -0.990, 2.121, -0.996, 2.062, -0.998, 2.062, -0.998, -5.000, -35.000, 0.000, Forward, -1.92, 0.06, 39.1, 0.134
200, 1/3, 0.980, -0.976, 1.636, -0.997, 1.753, -0.998, 1.772, -0.999, -5.000, -42.000, 0.000, Forward, -1.34, 4.18, 42.3, 0.095
250, 1/3, 1.438, -0.980, 1.562, -0.995, 1.579, -0.996, 1.593, -0.997, -5.000, -44.000, 0.000, Forward, -1.30, 1.23, 42.6, 0.114
315, 1/3, 1.565, -0.981, 1.424, -0.991, 1.655, -0.992, 1.693, -0.996, -5.000, -46.000, 0.000, Forward, -1.52, 0.68, 41.3, 0.113
400, 1/3, 1.389, -0.995, 1.385, -0.997, 1.599, -0.994, 1.420, -0.998, -5.000, -28.000, 0.000, Forward, -2.94, -0.13, 33.7, 0.117
500, 1/3, 1.092, -0.989, 1.554, -0.998, 1.624, -0.998, 1.560, -0.999, -5.000, -30.000, 0.000, Forward, -0.93, 3.35, 44.6, 0.092
630, 1/3, 1.443, -0.983, 1.462, -0.995, 1.575, -0.997, 1.630, -0.998, -5.000, -50.000, 0.000, Forward, -1.51, 1.36, 41.4, 0.102
800, 1/3, 1.442, -0.990, 1.698, -0.999, 1.669, -1.000, 1.669, -1.000, -5.000, -35.000, 0.000, Forward, -0.08, 2.09, 49.6, 0.097
1000, 1/3, 1.197, -0.988, 1.794, -0.998, 1.756, -0.999, 1.769, -1.000, -5.000, -47.000, 0.000, Forward, 0.01, 3.08, 50.1, 0.089
1250, 1/3, 1.035, -0.985, 1.703, -0.999, 1.702, -0.999, 1.718, -0.999, -5.000, -39.000, 0.000, Forward, 0.14, 2.51, 50.8, 0.085
1600, 1/3, 1.372, -0.987, 1.686, -0.998, 1.676, -0.999, 1.741, -0.999, -5.000, -51.000, 0.000, Forward, 0.04, 2.48, 50.3, 0.091
2000, 1/3, 1.442, -0.986, 1.690, -1.000, 1.720, -1.000, 1.693, -1.000, -5.000, -30.000, 0.000, Forward, 0.79, 3.74, 54.5, 0.087
2500, 1/3, 1.489, -0.990, 1.702, -1.000, 1.764, -1.000, 1.707, -1.000, -5.000, -27.000, 0.000, Forward, 0.28, 2.60, 51.6, 0.095
3150, 1/3, 1.473, -0.989, 1.687, -1.000, 1.735, -1.000, 1.739, -1.000, -5.000, -44.000, 0.000, Forward, 1.38, 3.13, 57.9, 0.082
4000, 1/3, 1.115, -0.985, 1.591, -0.998, 1.597, -1.000, 1.603, -1.000, -5.000, -40.000, 0.000, Forward, 2.27, 4.45, 62.8, 0.067
5000, 1/3, 1.218, -0.997, 1.422, -0.999, 1.431, -1.000, 1.432, -1.000, -5.000, -37.000, 0.000, Forward, 0.40, 3.24, 52.3, 0.076
6300, 1/3, 0.940, -0.984, 1.172, -1.000, 1.185, -1.000, 1.167, -1.000, -5.000, -31.000, 0.000, Forward, 2.74, 5.37, 65.3, 0.060
8000, 1/3, 0.700, -0.995, 0.928, -0.999, 0.942, -1.000, 0.934, -1.000, -5.000, -33.000, 0.000, Forward, 3.88, 6.45, 71.0, 0.046
10000, 1/3, 0.552, -0.996, 0.789, -0.999, 0.799, -0.999, 0.805, -1.000, -5.000, -43.000, 0.000, Forward, 3.87, 7.77, 70.9, 0.044

full, 1/3, 1.327, -0.992, 1.722, -0.999, 1.851, -0.998, 1.659, -1.000, -5.000, -20.000, 0.000, Forward, -0.05, 2.62, 49.7, 0.088

