RT60 data saved by REW V5.31.3
Source: C:\Users\arias\Downloads\Aula Magna IR\aula-magna-acustica\datos\Globo IR (WAV)\Globo F1-P8.wav
Dated: Sep 21, 2026 8:04:32 PM
Measurement: Globo F1-P8
Sweep level: -12.0 dBFS
Response measured over: 0.1 to 24,000.0 Hz
Peak value: 1.0 at index 133915
Response length: 524288 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -2.789895833333333 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 35.091, -0.976, 28.866, -0.938, 27.490, -0.877, 29.459, -0.954, -5.000, -20.000, 0.000, Forward, -18.90, -11.94, 1.3, 1.348
63, 1/3, 3.096, -0.952, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -5.000, -5.000, 0.000, Forward, -22.32, -12.66, 0.6, 0.265
80, 1/3, 1.910, -0.870, 0.395, -0.960, 0.000, 0.000, 0.349, -0.963, -5.000, -20.000, 0.000, Forward, -6.53, -5.80, 18.2, 0.151
100, 1/3, 1.834, -0.965, 0.000, 0.000, 0.000, 0.000, 1.554, -0.987, -5.000, -20.000, 0.000, Forward, -7.07, -6.00, 16.4, 0.197
125, 1/3, 1.789, -0.987, 0.000, 0.000, 0.000, 0.000, 2.136, -0.996, -5.000, -22.000, 0.000, Forward, -0.46, 0.44, 47.4, 0.153
160, 1/3, 0.962, -0.932, 1.560, -0.990, 1.481, -0.995, 1.473, -0.995, -5.000, -36.000, 0.000, Forward, 4.43, 6.19, 73.5, 0.083
200, 1/3, 1.958, -0.989, 1.368, -0.986, 1.501, -0.992, 1.490, -0.993, -5.000, -37.000, 0.000, Forward, 0.10, 0.61, 50.6, 0.134
250, 1/3, 2.225, -0.980, 1.455, -0.987, 1.556, -0.995, 1.559, -0.995, -5.000, -37.000, 0.000, Forward, -4.33, -2.91, 26.9, 0.154
315, 1/3, 1.477, -0.971, 1.502, -0.994, 0.000, 0.000, 1.511, -0.996, -5.000, -31.000, 0.000, Forward, -0.26, 3.33, 48.5, 0.099
400, 1/3, 1.443, -0.992, 1.556, -0.998, 1.595, -0.999, 1.595, -0.999, -5.000, -35.000, 0.000, Forward, -0.39, 1.77, 47.8, 0.102
500, 1/3, 1.495, -0.996, 1.546, -0.998, 1.696, -0.997, 1.613, -0.998, -5.000, -32.000, 0.000, Forward, -0.65, 0.87, 46.2, 0.107
630, 1/3, 1.708, -0.994, 1.576, -0.998, 1.588, -0.999, 1.552, -0.999, -5.000, -32.000, 0.000, Forward, -3.04, -0.91, 33.2, 0.134
800, 1/3, 1.829, -0.993, 1.610, -0.996, 1.738, -0.997, 1.789, -0.998, -5.000, -44.000, 0.000, Forward, -1.81, 0.21, 39.8, 0.128
1000, 1/3, 1.681, -0.993, 1.692, -0.998, 1.805, -0.998, 1.750, -0.998, -5.000, -31.000, 0.000, Forward, -0.31, 0.90, 48.2, 0.115
1250, 1/3, 1.803, -0.994, 1.595, -0.997, 1.749, -0.998, 1.763, -0.998, -5.000, -36.000, 0.000, Forward, -3.26, -0.31, 32.0, 0.127
1600, 1/3, 1.595, -0.998, 1.828, -0.998, 1.860, -0.999, 1.870, -0.999, -5.000, -37.000, 0.000, Forward, -1.57, 0.19, 41.1, 0.118
2000, 1/3, 1.620, -0.996, 1.741, -0.999, 1.830, -0.999, 1.720, -1.000, -5.000, -23.000, 0.000, Forward, -0.90, 0.58, 44.8, 0.110
2500, 1/3, 1.821, -0.998, 1.790, -0.999, 1.833, -0.999, 1.800, -1.000, -5.000, -30.000, 0.000, Forward, -2.68, -0.85, 35.1, 0.129
3150, 1/3, 1.759, -0.999, 1.706, -0.999, 1.765, -0.999, 1.735, -1.000, -5.000, -31.000, 0.000, Forward, -3.92, -1.56, 28.9, 0.137
4000, 1/3, 1.404, -0.998, 1.650, -0.999, 1.643, -1.000, 1.645, -1.000, -5.000, -37.000, 0.000, Forward, -3.00, -0.30, 33.4, 0.112
5000, 1/3, 1.396, -0.999, 1.388, -0.999, 1.440, -0.999, 1.364, -1.000, -5.000, -23.000, 0.000, Forward, -1.93, 0.45, 39.1, 0.103
6300, 1/3, 1.170, -0.998, 1.185, -0.999, 1.212, -1.000, 1.195, -1.000, -5.000, -31.000, 0.000, Forward, -0.87, 1.73, 45.0, 0.088
8000, 1/3, 0.891, -0.997, 0.960, -1.000, 0.980, -1.000, 0.961, -1.000, -5.000, -30.000, 0.000, Forward, 1.27, 3.79, 57.2, 0.067
10000, 1/3, 0.739, -0.995, 0.735, -1.000, 0.774, -0.999, 0.728, -1.000, -5.000, -23.000, 0.000, Forward, 2.46, 5.13, 63.8, 0.054

full, 1/3, 1.654, -0.998, 1.773, -1.000, 0.000, 0.000, 1.772, -1.000, -5.000, -27.000, 0.000, Forward, -1.36, 0.47, 42.2, 0.113

