RT60 data saved by REW V5.31.3
Source: C:\Users\arias\Downloads\Aula Magna IR\aula-magna-acustica\datos\Globo IR (WAV)\Globo F2-P5.wav
Dated: Sep 21, 2026 8:04:32 PM
Measurement: Globo F2-P5
Sweep level: -12.0 dBFS
Response measured over: 0.2 to 24,000.0 Hz
Peak value: 1.0 at index 46784
Response length: 262144 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -0.9746666666666667 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 1.182, -0.973, 0.000, 0.000, 0.000, 0.000, 1.000, -0.976, -5.000, -20.000, 0.000, Forward, 0.20, 4.15, 51.2, 0.124
63, 1/3, 22.667, -0.951, 13.812, -0.857, 10.229, -0.842, 16.658, -0.899, -5.000, -20.000, 0.000, Forward, -7.79, -5.03, 14.3, 0.748
80, 1/3, 21.418, -0.938, 12.657, -0.870, 10.926, -0.822, 16.359, -0.908, -5.000, -20.000, 0.000, Forward, -5.25, -4.55, 23.0, 0.714
100, 1/3, 3.177, -0.988, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -5.000, -5.000, 0.000, Forward, -2.21, -2.11, 37.6, 0.208
125, 1/3, 2.157, -0.989, 1.976, -0.990, 0.000, 0.000, 1.705, -0.993, -5.000, -20.000, 0.000, Forward, -1.86, -0.32, 39.5, 0.164
160, 1/3, 1.495, -0.984, 1.561, -0.991, 0.000, 0.000, 1.564, -0.994, -5.000, -30.000, 0.000, Forward, 1.13, 2.34, 56.5, 0.109
200, 1/3, 1.527, -0.983, 1.820, -0.978, 1.811, -0.992, 1.782, -0.992, -5.000, -37.000, 0.000, Forward, -0.44, 1.28, 47.5, 0.115
250, 1/3, 1.674, -0.991, 1.703, -0.993, 1.719, -0.997, 1.729, -0.997, -5.000, -38.000, 0.000, Forward, -4.48, -0.52, 26.3, 0.138
315, 1/3, 1.360, -0.992, 1.875, -0.986, 1.776, -0.995, 1.776, -0.995, -5.000, -35.000, 0.000, Forward, -0.70, 0.75, 46.0, 0.110
400, 1/3, 1.457, -0.986, 1.635, -0.998, 1.826, -0.997, 1.635, -0.998, -5.000, -25.000, 0.000, Forward, 1.10, 3.10, 56.3, 0.097
500, 1/3, 1.325, -0.996, 1.578, -0.998, 1.718, -0.998, 1.757, -0.999, -5.000, -46.000, 0.000, Forward, -1.99, 0.30, 38.8, 0.106
630, 1/3, 1.387, -0.994, 1.650, -0.998, 1.711, -0.999, 1.721, -0.999, -5.000, -46.000, 0.000, Forward, -2.95, 0.23, 33.6, 0.108
800, 1/3, 1.453, -0.977, 1.721, -0.996, 1.831, -0.998, 1.831, -0.998, -5.000, -35.000, 0.000, Forward, 0.94, 3.84, 55.4, 0.091
1000, 1/3, 1.579, -0.970, 1.784, -0.996, 1.793, -0.999, 1.807, -0.999, -5.000, -37.000, 0.000, Forward, -0.16, 3.51, 49.1, 0.094
1250, 1/3, 1.481, -0.982, 1.715, -0.999, 1.779, -0.999, 1.806, -0.999, -5.000, -41.000, 0.000, Forward, 0.20, 3.27, 51.1, 0.096
1600, 1/3, 1.682, -0.997, 1.666, -0.996, 1.773, -0.998, 1.791, -0.998, -5.000, -37.000, 0.000, Forward, -2.02, 0.46, 38.6, 0.120
2000, 1/3, 1.575, -0.995, 1.783, -0.999, 1.773, -0.999, 1.765, -0.999, -5.000, -34.000, 0.000, Forward, -1.28, 0.90, 42.7, 0.110
2500, 1/3, 1.638, -0.997, 1.724, -0.999, 1.771, -0.999, 1.727, -1.000, -5.000, -31.000, 0.000, Forward, -2.71, 0.67, 34.9, 0.116
3150, 1/3, 1.586, -0.997, 1.683, -1.000, 1.735, -0.999, 1.690, -1.000, -5.000, -30.000, 0.000, Forward, -1.81, 0.86, 39.7, 0.110
4000, 1/3, 1.537, -0.994, 1.576, -0.998, 1.632, -0.999, 1.647, -0.999, -5.000, -38.000, 0.000, Forward, -1.79, 1.80, 39.9, 0.102
5000, 1/3, 1.269, -0.997, 1.450, -0.999, 1.454, -1.000, 1.442, -1.000, -5.000, -33.000, 0.000, Forward, -1.04, 1.84, 44.0, 0.093
6300, 1/3, 0.988, -0.997, 1.218, -1.000, 1.284, -0.999, 1.218, -1.000, -5.000, -25.000, 0.000, Forward, -0.95, 2.02, 44.6, 0.079
8000, 1/3, 0.852, -0.999, 0.982, -0.998, 1.033, -0.999, 1.021, -0.999, -5.000, -33.000, 0.000, Forward, 0.96, 3.79, 55.5, 0.063
10000, 1/3, 0.664, -0.997, 0.753, -0.998, 0.790, -0.999, 0.804, -0.999, -5.000, -42.000, 0.000, Forward, 2.20, 6.03, 62.4, 0.050

full, 1/3, 1.545, -0.996, 2.015, -0.997, 0.000, 0.000, 1.835, -0.999, -5.000, -20.000, 0.000, Forward, -1.10, 1.49, 43.7, 0.104

