RT60 data saved by REW V5.31.3
Source: C:\Users\arias\Downloads\Aula Magna IR\aula-magna-acustica\datos\Globo IR (WAV)\Globo F1-P2.wav
Dated: Sep 21, 2026 8:04:32 PM
Measurement: Globo F1-P2
Sweep level: -12.0 dBFS
Response measured over: 0.2 to 24,000.0 Hz
Peak value: 1.0 at index 35789
Response length: 262144 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -0.7456041666666666 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 23.307, -0.967, 12.624, -0.972, 12.384, -0.960, 12.840, -0.978, -5.000, -20.000, 0.000, Forward, -5.71, -3.51, 21.2, 0.959
63, 1/3, 3.088, -0.988, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -5.000, -5.000, 0.000, Forward, -2.78, -1.88, 34.5, 0.197
80, 1/3, 2.996, -0.995, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -5.000, -5.000, 0.000, Forward, -5.25, -3.55, 23.0, 0.257
100, 1/3, 2.392, -0.965, 0.000, 0.000, 0.000, 0.000, 2.309, -0.995, -5.000, -21.000, 0.000, Forward, -5.73, -4.79, 21.1, 0.221
125, 1/3, 2.185, -0.987, 0.000, 0.000, 0.000, 0.000, 2.513, -0.992, -5.000, -23.000, 0.000, Forward, -9.13, -4.07, 10.9, 0.197
160, 1/3, 1.553, -0.991, 1.844, -0.996, 0.000, 0.000, 1.843, -0.998, -5.000, -31.000, 0.000, Forward, -3.55, 1.27, 30.6, 0.137
200, 1/3, 1.527, -0.952, 1.716, -0.989, 1.887, -0.995, 1.849, -0.996, -5.000, -38.000, 0.000, Forward, -1.46, -0.08, 41.7, 0.120
250, 1/3, 1.464, -0.989, 1.599, -0.996, 1.724, -0.997, 1.727, -0.998, -5.000, -40.000, 0.000, Forward, 0.34, 1.28, 52.0, 0.103
315, 1/3, 2.095, -0.986, 1.494, -0.980, 1.744, -0.990, 1.758, -0.993, -5.000, -42.000, 0.000, Forward, -0.99, 0.59, 44.3, 0.129
400, 1/3, 1.555, -0.984, 1.559, -0.988, 1.753, -0.993, 1.265, -0.997, -5.000, -20.000, 0.000, Forward, 0.39, 2.50, 52.2, 0.102
500, 1/3, 1.580, -0.992, 1.689, -0.996, 1.650, -0.998, 1.650, -0.999, -5.000, -46.000, 0.000, Forward, -0.00, 1.96, 50.0, 0.104
630, 1/3, 1.794, -0.991, 1.532, -0.997, 1.504, -0.999, 1.490, -0.999, -5.000, -34.000, 0.000, Forward, -0.81, 2.22, 45.4, 0.108
800, 1/3, 1.543, -0.991, 1.592, -0.999, 1.674, -0.998, 1.557, -0.999, -5.000, -21.000, 0.000, Forward, 1.58, 3.14, 59.0, 0.084
1000, 1/3, 1.865, -0.997, 1.693, -0.999, 1.718, -0.999, 1.674, -0.999, -5.000, -32.000, 0.000, Forward, -3.48, -0.58, 31.0, 0.127
1250, 1/3, 1.989, -0.997, 1.709, -0.999, 1.735, -0.999, 1.738, -1.000, -5.000, -39.000, 0.000, Forward, -2.70, -1.17, 34.9, 0.139
1600, 1/3, 1.993, -0.979, 1.712, -0.999, 1.762, -0.999, 1.737, -0.999, -5.000, -32.000, 0.000, Forward, 2.15, 3.40, 62.2, 0.091
2000, 1/3, 1.469, -0.969, 1.802, -0.999, 1.789, -0.999, 1.777, -1.000, -5.000, -34.000, 0.000, Forward, 1.73, 4.00, 59.8, 0.083
2500, 1/3, 1.708, -0.997, 1.795, -0.999, 1.817, -1.000, 1.808, -1.000, -5.000, -33.000, 0.000, Forward, 0.41, 1.96, 52.3, 0.097
3150, 1/3, 1.874, -0.998, 1.762, -0.999, 1.788, -1.000, 1.792, -1.000, -5.000, -37.000, 0.000, Forward, -0.14, 1.01, 49.2, 0.107
4000, 1/3, 1.762, -0.998, 1.518, -1.000, 1.593, -0.999, 1.525, -1.000, -5.000, -26.000, 0.000, Forward, -0.29, 1.50, 48.3, 0.101
5000, 1/3, 1.547, -0.998, 1.422, -1.000, 1.441, -1.000, 1.431, -1.000, -5.000, -33.000, 0.000, Forward, -0.01, 1.85, 49.9, 0.090
6300, 1/3, 1.307, -0.996, 1.207, -1.000, 1.231, -1.000, 1.228, -1.000, -5.000, -34.000, 0.000, Forward, 1.17, 3.22, 56.7, 0.074
8000, 1/3, 1.000, -0.997, 0.993, -1.000, 0.997, -1.000, 0.992, -1.000, -5.000, -34.000, 0.000, Forward, 2.33, 4.65, 63.1, 0.057
10000, 1/3, 0.732, -0.993, 0.804, -1.000, 0.804, -1.000, 0.807, -1.000, -5.000, -42.000, 0.000, Forward, 4.80, 7.31, 75.1, 0.038

full, 1/3, 1.734, -0.995, 1.841, -0.998, 0.000, 0.000, 1.724, -0.999, -5.000, -20.000, 0.000, Forward, 0.28, 2.11, 51.6, 0.098

