RT60 data saved by REW V5.31.3
Source: C:\Users\arias\Downloads\Aula Magna IR\aula-magna-acustica\datos\Globo IR (WAV)\Globo F2-P3.wav
Dated: Sep 21, 2026 8:04:32 PM
Measurement: Globo F2-P3
Sweep level: -12.0 dBFS
Response measured over: 0.2 to 24,000.0 Hz
Peak value: 1.0 at index 58515
Response length: 262144 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -1.2190625 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 1.176, -0.853, 0.000, 0.000, 0.000, 0.000, 0.688, -0.990, -5.000, -21.000, 0.000, Forward, -3.91, 3.07, 28.9, 0.133
63, 1/3, 7.731, -0.869, 27.894, -0.825, 21.257, -0.691, 29.290, -0.855, -5.000, -20.000, 0.000, Forward, -6.05, -2.99, 19.9, 0.413
80, 1/3, 14.853, -0.716, 20.886, -0.913, 19.592, -0.851, 21.491, -0.929, -5.000, -20.000, 0.000, Forward, -11.10, -5.33, 7.2, 0.430
100, 1/3, 1.286, -0.919, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -5.000, -5.000, 0.000, Forward, -16.44, -4.24, 2.2, 0.150
125, 1/3, 2.139, -0.986, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -5.000, -5.000, 0.000, Forward, -8.97, -3.08, 11.3, 0.180
160, 1/3, 2.311, -0.978, 1.725, -0.989, 0.000, 0.000, 1.755, -0.991, -5.000, -27.000, 0.000, Forward, -7.72, -2.49, 14.4, 0.194
200, 1/3, 1.697, -0.992, 1.303, -0.988, 1.305, -0.996, 1.310, -0.996, -5.000, -36.000, 0.000, Forward, -9.18, -0.43, 10.8, 0.146
250, 1/3, 1.885, -0.997, 1.536, -0.996, 1.629, -0.996, 1.493, -0.996, -5.000, -24.000, 0.000, Forward, -2.94, -0.25, 33.7, 0.135
315, 1/3, 1.322, -0.987, 1.709, -0.994, 1.817, -0.997, 1.809, -0.998, -5.000, -39.000, 0.000, Forward, -0.28, 2.13, 48.4, 0.093
400, 1/3, 1.241, -0.980, 1.617, -0.996, 1.537, -0.997, 1.564, -0.998, -5.000, -46.000, 0.000, Forward, -4.00, 3.00, 28.5, 0.103
500, 1/3, 1.154, -0.993, 1.650, -0.996, 1.693, -0.998, 1.722, -0.999, -5.000, -46.000, 0.000, Forward, -1.68, 1.40, 40.4, 0.101
630, 1/3, 1.106, -0.986, 1.670, -0.996, 1.707, -0.998, 1.750, -0.999, -5.000, -46.000, 0.000, Forward, 2.44, 4.42, 63.7, 0.072
800, 1/3, 0.609, -0.975, 1.492, -0.997, 1.579, -0.998, 1.593, -0.999, -9.000, -33.000, 0.000, Forward, 5.20, 7.37, 76.8, 0.051
1000, 1/3, 1.400, -0.997, 1.644, -0.999, 1.776, -0.998, 1.647, -0.999, -5.000, -26.000, 0.000, Forward, -1.85, 0.70, 39.5, 0.101
1250, 1/3, 1.280, -0.993, 1.751, -0.999, 1.787, -0.999, 1.798, -1.000, -5.000, -40.000, 0.000, Forward, -3.13, 1.16, 32.7, 0.102
1600, 1/3, 1.212, -0.996, 1.661, -0.999, 1.697, -0.999, 1.675, -1.000, -5.000, -33.000, 0.000, Forward, -2.50, 1.88, 36.0, 0.097
2000, 1/3, 1.390, -0.998, 1.654, -0.999, 1.765, -0.999, 1.618, -0.999, -5.000, -23.000, 0.000, Forward, -0.24, 1.75, 48.6, 0.089
2500, 1/3, 1.442, -0.997, 1.696, -1.000, 1.745, -1.000, 1.694, -1.000, -5.000, -28.000, 0.000, Forward, -1.68, 1.90, 40.4, 0.101
3150, 1/3, 1.485, -0.996, 1.674, -1.000, 1.751, -0.999, 1.688, -1.000, -5.000, -29.000, 0.000, Forward, -0.24, 2.10, 48.6, 0.095
4000, 1/3, 1.320, -0.997, 1.615, -0.999, 1.645, -1.000, 1.645, -1.000, -5.000, -35.000, 0.000, Forward, -1.19, 1.78, 43.2, 0.099
5000, 1/3, 1.164, -0.997, 1.383, -1.000, 1.446, -0.999, 1.389, -1.000, -5.000, -27.000, 0.000, Forward, -0.64, 3.19, 46.3, 0.082
6300, 1/3, 0.919, -0.996, 1.101, -0.999, 1.191, -0.998, 1.053, -0.999, -5.000, -21.000, 0.000, Forward, 1.92, 4.83, 60.9, 0.061
8000, 1/3, 0.780, -0.987, 0.915, -0.999, 0.991, -0.998, 0.896, -0.999, -5.000, -23.000, 0.000, Forward, 3.21, 5.94, 67.7, 0.052
10000, 1/3, 0.606, -0.989, 0.711, -1.000, 0.743, -0.999, 0.714, -1.000, -5.000, -28.000, 0.000, Forward, 4.15, 7.35, 72.2, 0.043

full, 1/3, 1.335, -0.997, 1.821, -0.999, 0.000, 0.000, 1.815, -0.999, -5.000, -26.000, 0.000, Forward, -1.49, 1.94, 41.5, 0.093

