RT60 data saved by REW V5.31.3
Source: C:\Users\arias\Downloads\Aula Magna IR\aula-magna-acustica\datos\Globo IR (WAV)\Globo F2-P1.wav
Dated: Sep 21, 2026 8:04:32 PM
Measurement: Globo F2-P1
Sweep level: -12.0 dBFS
Response measured over: 0.2 to 24,000.0 Hz
Peak value: 1.0 at index 29217
Response length: 262144 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -0.6086874999999999 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 1.737, -0.982, 0.000, 0.000, 0.000, 0.000, 2.222, -0.960, -5.000, -20.000, 0.000, Forward, -0.75, 0.13, 45.7, 0.161
63, 1/3, 1.208, -0.896, 1.007, -0.987, 0.000, 0.000, 1.007, -0.987, -5.000, -25.000, 0.000, Forward, -1.60, 2.47, 40.9, 0.114
80, 1/3, 0.999, -0.921, 1.166, -0.991, 0.000, 0.000, 1.154, -0.994, -5.000, -28.000, 0.000, Forward, -11.15, -0.43, 7.1, 0.134
100, 1/3, 1.908, -0.982, 0.000, 0.000, 0.000, 0.000, 2.315, -0.992, -5.000, -23.000, 0.000, Forward, -15.24, -1.58, 2.9, 0.184
125, 1/3, 1.577, -0.977, 1.474, -0.996, 0.000, 0.000, 1.472, -0.997, -5.000, -29.000, 0.000, Forward, -8.30, -3.38, 12.9, 0.161
160, 1/3, 1.458, -0.973, 1.524, -0.993, 1.740, -0.995, 1.742, -0.995, -5.000, -38.000, 0.000, Forward, -10.29, -2.82, 8.6, 0.155
200, 1/3, 1.358, -0.986, 1.535, -0.996, 1.766, -0.994, 1.799, -0.997, -5.000, -45.000, 0.000, Forward, -7.28, -1.79, 15.7, 0.140
250, 1/3, 1.496, -0.988, 1.445, -0.993, 1.521, -0.996, 1.584, -0.996, -5.000, -21.000, 0.000, Forward, -7.09, -2.66, 16.4, 0.145
315, 1/3, 1.644, -0.994, 1.575, -0.994, 1.693, -0.995, 1.774, -0.997, -5.000, -47.000, 0.000, Forward, -8.64, -3.53, 12.0, 0.152
400, 1/3, 1.445, -0.990, 1.513, -0.993, 1.530, -0.997, 1.497, -0.997, -5.000, -34.000, 0.000, Forward, -0.63, 0.88, 46.4, 0.099
500, 1/3, 1.713, -0.997, 1.351, -0.993, 1.585, -0.993, 1.506, -0.994, -5.000, -33.000, 0.000, Forward, -1.13, 0.54, 43.5, 0.109
630, 1/3, 1.144, -0.991, 1.659, -0.998, 1.758, -0.999, 1.796, -0.999, -5.000, -42.000, 0.000, Forward, -1.03, 2.56, 44.1, 0.090
800, 1/3, 1.930, -0.986, 1.724, -0.995, 1.745, -0.998, 1.824, -0.999, -5.000, -48.000, 0.000, Forward, -0.67, 1.37, 46.1, 0.112
1000, 1/3, 1.608, -0.994, 1.702, -0.998, 1.739, -0.999, 1.763, -0.999, -5.000, -43.000, 0.000, Forward, 0.38, 2.53, 52.2, 0.091
1250, 1/3, 1.612, -0.994, 1.681, -0.999, 1.731, -0.999, 1.740, -0.999, -5.000, -36.000, 0.000, Forward, -2.56, 1.19, 35.7, 0.108
1600, 1/3, 1.892, -0.995, 1.722, -0.999, 1.772, -0.999, 1.727, -1.000, -5.000, -30.000, 0.000, Forward, 0.08, 1.56, 50.5, 0.101
2000, 1/3, 1.734, -0.998, 1.772, -0.999, 1.797, -1.000, 1.772, -1.000, -5.000, -31.000, 0.000, Forward, -0.83, 1.58, 45.2, 0.104
2500, 1/3, 1.661, -0.979, 1.817, -0.999, 1.816, -1.000, 1.817, -1.000, -5.000, -41.000, 0.000, Forward, 1.70, 3.98, 59.7, 0.076
3150, 1/3, 1.668, -0.998, 1.788, -1.000, 1.767, -1.000, 1.789, -1.000, -5.000, -44.000, 0.000, Forward, -1.60, 0.97, 40.9, 0.105
4000, 1/3, 1.488, -0.991, 1.550, -0.999, 1.594, -0.999, 1.622, -1.000, -5.000, -44.000, 0.000, Forward, 0.65, 1.95, 53.7, 0.086
5000, 1/3, 1.384, -0.998, 1.395, -1.000, 1.412, -1.000, 1.393, -1.000, -5.000, -31.000, 0.000, Forward, -0.97, 1.23, 44.4, 0.096
6300, 1/3, 1.143, -0.990, 1.231, -0.999, 1.208, -0.999, 1.211, -1.000, -5.000, -38.000, 0.000, Forward, 1.98, 3.68, 61.2, 0.063
8000, 1/3, 0.889, -0.993, 1.017, -0.999, 1.006, -1.000, 1.006, -1.000, -5.000, -44.000, 0.000, Forward, 2.01, 5.21, 61.4, 0.056
10000, 1/3, 0.694, -0.986, 0.781, -0.999, 0.787, -1.000, 0.812, -1.000, -5.000, -53.000, 0.000, Forward, 5.09, 8.26, 76.3, 0.035

full, 1/3, 1.544, -0.998, 1.766, -0.999, 0.000, 0.000, 1.719, -1.000, -5.000, -22.000, 0.000, Forward, -0.90, 1.51, 44.8, 0.095

