RT60 data saved by REW V5.31.3
Source: ASIO SSL ASIO Driver 1, Input 1
Dated: 15-09-2026 10:54:21
Measurement: Parlatnte F1-P2 10:54:12
Sweep level: -12,0 dBFS
Response measured over: 0,4 to 19.999,9 Hz
Peak value: 0.011278668 at index 48000
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -1.0000000024239726 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 1.910, -0.978, 1.986, -0.993, 2.092, -0.996, 2.062, -0.997, -5.000, -40.000, 0.000, Forward, 2.44, 3.21, 63.7, 0.150
63, 1/3, 1.141, -0.967, 2.032, -0.972, 2.089, -0.992, 1.867, -0.995, -5.000, -59.000, 0.000, Forward, -2.84, 3.35, 34.2, 0.134
80, 1/3, 0.678, -0.958, 2.012, -0.991, 1.877, -0.989, 2.008, -0.996, -9.000, -30.000, 0.000, Forward, 5.24, 8.68, 77.0, 0.089
100, 1/3, 1.370, -0.987, 1.462, -0.992, 1.537, -0.996, 1.571, -0.999, -5.000, -53.000, 0.000, Forward, -3.12, -0.60, 32.8, 0.141
125, 1/3, 1.184, -0.989, 1.664, -0.990, 1.641, -0.996, 1.659, -0.998, -5.000, -50.000, 0.000, Forward, -0.85, 0.83, 45.1, 0.124
160, 1/3, 1.098, -0.991, 1.884, -0.991, 1.674, -0.992, 1.563, -0.996, -5.000, -55.000, 0.000, Forward, 0.15, 2.17, 50.9, 0.107
200, 1/3, 0.928, -0.960, 1.774, -0.992, 1.779, -0.997, 1.698, -0.998, -5.000, -54.000, 0.000, Forward, 3.50, 6.21, 69.1, 0.074
250, 1/3, 1.218, -0.990, 1.576, -0.993, 1.646, -0.996, 1.671, -0.999, -5.000, -53.000, 0.000, Forward, -1.36, 1.78, 42.3, 0.097
315, 1/3, 1.297, -0.979, 1.508, -0.994, 1.549, -0.997, 1.552, -0.999, -5.000, -55.000, 0.000, Forward, 0.88, 3.38, 55.1, 0.087
400, 1/3, 1.878, -0.981, 1.480, -0.994, 1.579, -0.997, 1.676, -0.998, -5.000, -50.000, 0.000, Forward, 1.96, 3.39, 61.1, 0.083
500, 1/3, 1.551, -0.993, 1.598, -0.998, 1.597, -0.999, 1.614, -0.999, -5.000, -42.000, 0.000, Forward, -0.31, 2.11, 48.2, 0.091
630, 1/3, 1.637, -0.995, 1.512, -0.996, 1.575, -0.998, 1.678, -0.999, -5.000, -53.000, 0.000, Forward, 0.62, 2.45, 53.6, 0.087
800, 1/3, 1.539, -0.982, 1.615, -0.998, 1.607, -0.999, 1.620, -0.999, -5.000, -38.000, 0.000, Forward, 3.25, 4.30, 67.9, 0.065
1000, 1/3, 1.585, -0.944, 1.752, -0.999, 1.775, -0.999, 1.769, -1.000, -5.000, -47.000, 0.000, Forward, 5.50, 6.69, 78.0, 0.048
1250, 1/3, 1.473, -0.978, 1.734, -0.999, 1.736, -1.000, 1.735, -1.000, -5.000, -42.000, 0.000, Forward, 3.76, 5.29, 70.4, 0.057
1600, 1/3, 1.837, -0.985, 1.755, -0.999, 1.723, -1.000, 1.736, -1.000, -5.000, -38.000, 0.000, Forward, 3.46, 4.54, 68.9, 0.066
2000, 1/3, 1.764, -0.988, 1.701, -0.998, 1.733, -0.999, 1.801, -0.999, -5.000, -20.000, 0.000, Forward, 2.88, 4.28, 66.0, 0.066
2500, 1/3, 1.417, -0.994, 1.839, -0.999, 1.833, -1.000, 1.841, -1.000, -5.000, -51.000, 0.000, Forward, 2.24, 4.59, 62.6, 0.065
3150, 1/3, 1.767, -0.992, 1.657, -0.999, 1.718, -0.999, 1.769, -1.000, -5.000, -52.000, 0.000, Forward, 2.64, 4.52, 64.7, 0.067
4000, 1/3, 1.660, -0.994, 1.550, -0.999, 1.575, -1.000, 1.610, -1.000, -5.000, -56.000, 0.000, Forward, 2.85, 4.51, 65.8, 0.062
5000, 1/3, 1.424, -0.991, 1.404, -0.999, 1.385, -1.000, 1.422, -1.000, -5.000, -60.000, 0.000, Forward, 3.35, 5.87, 68.4, 0.052
6300, 1/3, 1.263, -0.976, 1.196, -0.999, 1.191, -1.000, 1.188, -1.000, -5.000, -45.000, 0.000, Forward, 4.34, 6.84, 73.1, 0.039
8000, 1/3, 1.104, -0.965, 0.958, -0.999, 0.952, -1.000, 0.958, -1.000, -5.000, -54.000, 0.000, Forward, 5.88, 8.30, 79.5, 0.028
10000, 1/3, 0.989, -0.948, 0.795, -0.999, 0.792, -1.000, 0.775, -1.000, -5.000, -57.000, 0.000, Forward, 7.74, 10.31, 85.6, 0.019

full, 1/3, 1.418, -0.997, 1.558, -1.000, 1.600, -1.000, 1.566, -1.000, -5.000, -27.000, 0.000, Forward, 3.68, 5.59, 70.0, 0.051

