RT60 data saved by REW V5.31.3
Source: ASIO SSL ASIO Driver 1, Input 1
Dated: 15-09-2026 12:03:15
Measurement: Parlatnte F2-P3 12:03:04
Sweep level: -12,0 dBFS
Response measured over: 0,4 to 19.999,9 Hz
Peak value: 0.006354314 at index 48000
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -1.000000001118808 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 1.536, -0.977, 2.345, -0.991, 2.161, -0.995, 2.110, -0.997, -5.000, -43.000, 0.000, Forward, -2.93, -0.19, 33.8, 0.165
63, 1/3, 0.913, -0.966, 2.291, -0.964, 1.966, -0.981, 1.939, -0.992, -10.000, -47.000, 0.000, Forward, 4.41, 5.86, 73.4, 0.106
80, 1/3, 0.917, -0.968, 1.710, -0.993, 1.564, -0.996, 1.603, -0.998, -5.000, -50.000, 0.000, Forward, 3.24, 6.29, 67.8, 0.109
100, 1/3, 0.856, -0.967, 1.454, -0.985, 1.488, -0.994, 1.440, -0.995, -5.000, -33.000, 0.000, Forward, -0.95, 3.00, 44.6, 0.107
125, 1/3, 1.505, -0.979, 1.640, -0.996, 1.574, -0.997, 1.531, -0.998, -5.000, -47.000, 0.000, Forward, -7.11, 0.15, 16.3, 0.147
160, 1/3, 1.406, -0.981, 1.649, -0.994, 1.532, -0.996, 1.555, -0.998, -5.000, -52.000, 0.000, Forward, 1.05, 3.37, 56.0, 0.114
200, 1/3, 1.181, -0.978, 1.547, -0.994, 1.701, -0.995, 1.700, -0.998, -5.000, -53.000, 0.000, Forward, 0.23, 4.09, 51.3, 0.096
250, 1/3, 1.216, -0.982, 1.399, -0.989, 1.497, -0.996, 1.544, -0.997, -5.000, -44.000, 0.000, Forward, -2.76, 2.01, 34.6, 0.100
315, 1/3, 1.547, -0.995, 1.520, -0.992, 1.584, -0.997, 1.612, -0.998, -5.000, -44.000, 0.000, Forward, -2.16, 0.82, 37.8, 0.114
400, 1/3, 1.228, -0.990, 1.535, -0.997, 1.539, -0.997, 1.508, -0.998, -5.000, -34.000, 0.000, Forward, -2.97, -0.29, 33.5, 0.106
500, 1/3, 1.256, -0.985, 1.489, -0.998, 1.551, -0.998, 1.557, -0.999, -5.000, -39.000, 0.000, Forward, 1.96, 3.96, 61.1, 0.078
630, 1/3, 1.494, -0.992, 1.407, -0.998, 1.615, -0.995, 1.407, -0.998, -5.000, -25.000, 0.000, Forward, 1.52, 2.88, 58.7, 0.077
800, 1/3, 1.391, -0.991, 1.504, -0.998, 1.638, -0.998, 1.706, -0.999, -5.000, -54.000, 0.000, Forward, 1.70, 4.52, 59.7, 0.069
1000, 1/3, 1.106, -0.983, 1.587, -0.998, 1.648, -0.999, 1.679, -1.000, -5.000, -55.000, 0.000, Forward, 2.85, 6.00, 65.8, 0.056
1250, 1/3, 0.985, -0.991, 1.549, -0.996, 1.600, -0.998, 1.583, -0.998, -5.000, -34.000, 0.000, Forward, 2.20, 5.51, 62.4, 0.060
1600, 1/3, 1.262, -0.986, 1.637, -0.999, 1.634, -1.000, 1.634, -1.000, -5.000, -35.000, 0.000, Forward, 1.65, 4.41, 59.4, 0.078
2000, 1/3, 1.478, -0.989, 1.675, -0.999, 1.698, -1.000, 1.705, -1.000, -5.000, -37.000, 0.000, Forward, 2.14, 4.50, 62.1, 0.071
2500, 1/3, 1.254, -0.985, 1.670, -0.999, 1.728, -0.999, 1.727, -1.000, -5.000, -39.000, 0.000, Forward, 1.40, 5.12, 58.0, 0.066
3150, 1/3, 1.326, -0.992, 1.632, -1.000, 1.679, -1.000, 1.634, -1.000, -5.000, -28.000, 0.000, Forward, 1.88, 4.61, 60.7, 0.068
4000, 1/3, 1.226, -0.994, 1.536, -0.999, 1.526, -1.000, 1.544, -1.000, -5.000, -44.000, 0.000, Forward, 1.82, 4.68, 60.3, 0.066
5000, 1/3, 1.141, -0.990, 1.341, -0.999, 1.388, -0.999, 1.405, -1.000, -5.000, -48.000, 0.000, Forward, 3.26, 5.81, 67.9, 0.053
6300, 1/3, 0.905, -0.995, 1.135, -0.999, 1.161, -1.000, 1.176, -1.000, -5.000, -49.000, 0.000, Forward, 2.59, 6.35, 64.5, 0.049
8000, 1/3, 0.648, -0.994, 0.925, -0.998, 0.934, -0.999, 0.961, -1.000, -5.000, -52.000, 0.000, Forward, 4.77, 8.68, 75.0, 0.035
10000, 1/3, 0.636, -0.988, 0.718, -0.997, 0.744, -0.999, 0.747, -1.000, -5.000, -45.000, 0.000, Forward, 5.80, 9.96, 79.2, 0.028

full, 1/3, 1.101, -0.995, 1.488, -0.999, 1.554, -0.999, 1.540, -0.999, -5.000, -33.000, 0.000, Forward, 2.33, 5.30, 63.1, 0.058

