RT60 data saved by REW V5.31.3
Source: ASIO SSL ASIO Driver 1, Input 1
Dated: 15-09-2026 11:55:50
Measurement: Parlatnte F2-P1 11:55:33
Sweep level: -12,0 dBFS
Response measured over: 0,4 to 19.999,9 Hz
Peak value: 0.0083118975 at index 48000
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -1.0000000130230242 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 1.310, -0.983, 1.817, -0.957, 2.177, -0.979, 1.099, -0.989, -5.000, -20.000, 0.000, Forward, 3.63, 4.11, 69.8, 0.122
63, 1/3, 1.026, -0.963, 1.579, -0.963, 1.849, -0.986, 1.782, -0.990, -5.000, -41.000, 0.000, Forward, 2.44, 4.13, 63.7, 0.105
80, 1/3, 1.105, -0.836, 1.845, -0.990, 2.216, -0.988, 1.772, -0.995, -15.000, -28.000, 0.000, Forward, -4.73, 0.54, 25.2, 0.121
100, 1/3, 1.330, -0.978, 1.509, -0.986, 1.635, -0.991, 1.576, -0.995, -5.000, -47.000, 0.000, Forward, -5.74, -1.50, 21.1, 0.145
125, 1/3, 1.249, -0.979, 1.799, -0.987, 1.764, -0.992, 1.613, -0.996, -5.000, -49.000, 0.000, Forward, -5.17, -1.53, 23.3, 0.134
160, 1/3, 1.764, -0.908, 1.919, -0.984, 1.938, -0.995, 1.911, -0.997, -5.000, -47.000, 0.000, Forward, 2.60, 5.44, 64.6, 0.105
200, 1/3, 1.802, -0.992, 1.611, -0.996, 1.627, -0.998, 1.611, -0.999, -5.000, -49.000, 0.000, Forward, 0.55, 1.70, 53.1, 0.111
250, 1/3, 1.217, -0.974, 1.498, -0.992, 1.625, -0.996, 1.676, -0.998, -5.000, -54.000, 0.000, Forward, -1.74, -0.63, 40.1, 0.108
315, 1/3, 1.121, -0.988, 1.573, -0.993, 1.587, -0.997, 1.636, -0.998, -5.000, -53.000, 0.000, Forward, -0.48, 3.10, 47.2, 0.093
400, 1/3, 1.147, -0.973, 1.568, -0.996, 1.562, -0.998, 1.582, -0.999, -5.000, -38.000, 0.000, Forward, 2.16, 5.89, 62.2, 0.065
500, 1/3, 1.568, -0.995, 1.545, -0.998, 1.577, -0.999, 1.549, -0.999, -5.000, -33.000, 0.000, Forward, 0.10, 1.42, 50.6, 0.095
630, 1/3, 1.168, -0.940, 1.451, -0.997, 1.471, -0.998, 1.442, -0.999, -5.000, -33.000, 0.000, Forward, 5.23, 6.31, 76.9, 0.047
800, 1/3, 1.283, -0.947, 1.575, -0.998, 1.587, -0.999, 1.605, -0.999, -5.000, -39.000, 0.000, Forward, 5.30, 6.83, 77.2, 0.050
1000, 1/3, 0.970, -0.969, 1.505, -0.995, 1.566, -0.998, 1.586, -0.998, -5.000, -38.000, 0.000, Forward, 4.49, 7.44, 73.7, 0.048
1250, 1/3, 1.546, -0.984, 1.660, -1.000, 1.661, -1.000, 1.665, -1.000, -5.000, -24.000, 0.000, Forward, 2.97, 4.74, 66.5, 0.064
1600, 1/3, 1.888, -0.979, 1.718, -0.998, 1.771, -0.999, 1.830, -0.999, -5.000, -50.000, 0.000, Forward, 3.49, 4.47, 69.1, 0.065
2000, 1/3, 1.556, -0.978, 1.758, -0.998, 1.799, -0.999, 1.847, -1.000, -5.000, -51.000, 0.000, Forward, 3.69, 5.39, 70.0, 0.055
2500, 1/3, 1.452, -0.979, 1.786, -0.999, 1.808, -1.000, 1.804, -1.000, -5.000, -51.000, 0.000, Forward, 3.89, 5.43, 71.0, 0.056
3150, 1/3, 1.582, -0.972, 1.715, -1.000, 1.674, -1.000, 1.688, -1.000, -5.000, -42.000, 0.000, Forward, 4.29, 5.84, 72.9, 0.053
4000, 1/3, 1.396, -0.959, 1.605, -1.000, 1.583, -1.000, 1.587, -1.000, -5.000, -40.000, 0.000, Forward, 4.96, 6.42, 75.8, 0.045
5000, 1/3, 1.277, -0.956, 1.363, -0.999, 1.389, -1.000, 1.404, -1.000, -5.000, -44.000, 0.000, Forward, 4.99, 6.81, 75.9, 0.041
6300, 1/3, 0.960, -0.929, 1.201, -0.999, 1.199, -1.000, 1.182, -1.000, -5.000, -45.000, 0.000, Forward, 6.30, 8.49, 81.0, 0.031
8000, 1/3, 0.786, -0.930, 0.997, -0.999, 0.997, -1.000, 0.985, -1.000, -5.000, -51.000, 0.000, Forward, 6.89, 9.61, 83.0, 0.025
10000, 1/3, 0.710, -0.875, 0.771, -0.998, 0.763, -0.999, 0.772, -1.000, -5.000, -48.000, 0.000, Forward, 8.39, 10.62, 87.3, 0.019

full, 1/3, 1.218, -0.977, 1.527, -1.000, 1.578, -1.000, 1.553, -1.000, -5.000, -31.000, 0.000, Forward, 4.84, 6.62, 75.3, 0.043

