RT60 data saved by REW V5.31.3
Source: ASIO SSL ASIO Driver 1, Input 1
Dated: 15-09-2026 11:58:46
Measurement: Parlatnte F2-P2 11:58:30
Sweep level: -12,0 dBFS
Response measured over: 0,4 to 19.999,9 Hz
Peak value: 0.013296259 at index 48000
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -1.000000000330587 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 2.837, -0.980, 2.403, -0.955, 2.223, -0.987, 2.230, -0.988, -5.000, -37.000, 0.000, Forward, -3.30, -0.58, 31.9, 0.218
63, 1/3, 1.218, -0.987, 1.941, -0.970, 2.116, -0.987, 2.141, -0.988, -5.000, -36.000, 0.000, Forward, 2.89, 3.61, 66.0, 0.111
80, 1/3, 1.169, -0.987, 1.734, -0.985, 1.898, -0.991, 1.859, -0.996, -5.000, -45.000, 0.000, Forward, 1.11, 5.79, 56.3, 0.107
100, 1/3, 0.980, -0.974, 1.370, -0.975, 1.536, -0.990, 1.612, -0.993, -5.000, -40.000, 0.000, Forward, -1.72, 3.79, 40.2, 0.109
125, 1/3, 1.003, -0.956, 1.581, -0.985, 1.649, -0.989, 1.628, -0.997, -5.000, -57.000, 0.000, Forward, 4.54, 5.60, 74.0, 0.087
160, 1/3, 1.555, -0.991, 1.615, -0.992, 1.494, -0.992, 1.458, -0.996, -5.000, -22.000, 0.000, Forward, 1.00, 1.24, 55.7, 0.120
200, 1/3, 1.378, -0.979, 1.432, -0.992, 1.475, -0.994, 1.580, -0.998, -5.000, -55.000, 0.000, Forward, 2.58, 3.41, 64.4, 0.086
250, 1/3, 1.061, -0.968, 1.511, -0.996, 1.543, -0.998, 1.586, -0.999, -5.000, -57.000, 0.000, Forward, -0.05, 5.27, 49.7, 0.083
315, 1/3, 1.252, -0.974, 1.610, -0.997, 1.701, -0.998, 1.752, -0.999, -5.000, -51.000, 0.000, Forward, 3.41, 5.52, 68.7, 0.066
400, 1/3, 1.049, -0.951, 1.617, -0.994, 1.733, -0.998, 1.724, -0.999, -5.000, -54.000, 0.000, Forward, 2.10, 2.60, 61.8, 0.066
500, 1/3, 1.462, -0.994, 1.459, -0.996, 1.542, -0.998, 1.589, -0.999, -5.000, -55.000, 0.000, Forward, 1.58, 3.17, 59.0, 0.080
630, 1/3, 1.140, -0.968, 1.480, -0.996, 1.489, -0.999, 1.499, -0.999, -5.000, -40.000, 0.000, Forward, 3.10, 3.97, 67.1, 0.056
800, 1/3, 1.044, -0.931, 1.574, -0.997, 1.584, -0.999, 1.590, -0.999, -5.000, -36.000, 0.000, Forward, 5.24, 6.97, 77.0, 0.040
1000, 1/3, 1.267, -0.870, 1.682, -0.999, 1.721, -1.000, 1.754, -1.000, -5.000, -53.000, 0.000, Forward, 7.04, 8.32, 83.5, 0.036
1250, 1/3, 1.472, -0.979, 1.680, -0.997, 1.727, -0.999, 1.777, -0.999, -5.000, -51.000, 0.000, Forward, 4.45, 5.78, 73.6, 0.055
1600, 1/3, 1.159, -0.977, 1.715, -0.997, 1.791, -0.999, 1.837, -0.999, -5.000, -51.000, 0.000, Forward, 4.32, 5.80, 73.0, 0.049
2000, 1/3, 1.576, -0.976, 1.743, -0.999, 1.767, -1.000, 1.784, -1.000, -5.000, -46.000, 0.000, Forward, 3.52, 4.53, 69.2, 0.057
2500, 1/3, 1.830, -0.989, 1.829, -0.999, 1.755, -0.999, 1.769, -1.000, -5.000, -50.000, 0.000, Forward, 2.01, 4.04, 61.3, 0.074
3150, 1/3, 1.771, -0.982, 1.701, -0.999, 1.707, -1.000, 1.740, -1.000, -5.000, -53.000, 0.000, Forward, 4.00, 5.45, 71.5, 0.057
4000, 1/3, 1.443, -0.980, 1.604, -1.000, 1.621, -1.000, 1.614, -1.000, -5.000, -58.000, 0.000, Forward, 5.11, 6.62, 76.4, 0.043
5000, 1/3, 1.544, -0.979, 1.391, -0.999, 1.421, -1.000, 1.442, -1.000, -5.000, -56.000, 0.000, Forward, 5.39, 6.68, 77.6, 0.040
6300, 1/3, 1.305, -0.969, 1.190, -0.999, 1.195, -0.999, 1.225, -1.000, -5.000, -60.000, 0.000, Forward, 6.10, 7.61, 80.3, 0.032
8000, 1/3, 0.804, -0.939, 0.978, -0.999, 0.956, -1.000, 0.958, -1.000, -5.000, -42.000, 0.000, Forward, 8.59, 10.29, 87.9, 0.019
10000, 1/3, 0.678, -0.935, 0.796, -0.999, 0.783, -1.000, 0.774, -1.000, -5.000, -50.000, 0.000, Forward, 9.01, 11.81, 88.8, 0.016

full, 1/3, 1.211, -0.991, 1.509, -0.999, 1.587, -0.999, 1.614, -0.999, -5.000, -42.000, 0.000, Forward, 5.65, 7.24, 78.6, 0.037

