RT60 data saved by REW V5.31.3
Source: ASIO SSL ASIO Driver 1, Input 1
Dated: 15-09-2026 10:57:42
Measurement: Parlatnte F1-P3 10:57:27
Sweep level: -12,0 dBFS
Response measured over: 0,4 to 19.999,9 Hz
Peak value: 0.0066504306 at index 48000
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -1.0000000003066452 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 2.134, -0.980, 2.198, -0.980, 2.221, -0.990, 2.233, -0.990, -5.000, -34.000, 0.000, Forward, 1.35, 3.67, 57.7, 0.164
63, 1/3, 0.834, -0.923, 2.013, -0.984, 2.223, -0.992, 1.772, -0.997, -12.000, -21.000, 0.000, Forward, 1.71, 7.56, 59.7, 0.108
80, 1/3, 1.246, -0.962, 2.156, -0.994, 2.112, -0.996, 2.104, -0.997, -5.000, -40.000, 0.000, Forward, -3.92, 5.22, 28.8, 0.129
100, 1/3, 0.857, -0.801, 1.886, -0.974, 2.141, -0.989, 1.474, -0.994, -13.000, -25.000, 0.000, Forward, -3.67, 9.20, 30.0, 0.102
125, 1/3, 1.171, -0.978, 1.600, -0.996, 1.638, -0.998, 1.636, -0.998, -5.000, -36.000, 0.000, Forward, -3.19, 3.94, 32.4, 0.117
160, 1/3, 1.529, -0.992, 1.515, -0.989, 1.524, -0.995, 1.499, -0.995, -5.000, -34.000, 0.000, Forward, -7.67, -1.25, 14.6, 0.151
200, 1/3, 1.424, -0.993, 1.483, -0.994, 1.421, -0.993, 1.503, -0.997, -5.000, -55.000, 0.000, Forward, -2.82, -0.52, 34.3, 0.125
250, 1/3, 1.260, -0.990, 1.398, -0.991, 1.611, -0.993, 1.657, -0.998, -5.000, -52.000, 0.000, Forward, -2.11, -0.27, 38.1, 0.120
315, 1/3, 1.090, -0.980, 1.611, -0.994, 1.605, -0.998, 1.594, -0.999, -5.000, -45.000, 0.000, Forward, 0.41, 5.00, 52.4, 0.085
400, 1/3, 1.677, -0.933, 1.724, -0.993, 1.590, -0.996, 1.647, -0.999, -5.000, -53.000, 0.000, Forward, 4.08, 5.48, 71.9, 0.067
500, 1/3, 1.314, -0.959, 1.573, -0.996, 1.632, -0.997, 1.661, -0.999, -5.000, -54.000, 0.000, Forward, -0.44, 3.20, 47.5, 0.082
630, 1/3, 0.954, -0.985, 1.709, -0.998, 1.615, -0.998, 1.720, -0.999, -5.000, -54.000, 0.000, Forward, 1.32, 6.07, 57.6, 0.067
800, 1/3, 0.918, -0.988, 1.620, -0.998, 1.671, -0.999, 1.637, -0.999, -5.000, -32.000, 0.000, Forward, 3.71, 6.23, 70.1, 0.057
1000, 1/3, 1.013, -0.901, 1.383, -0.998, 1.578, -0.996, 1.394, -0.998, -5.000, -26.000, 0.000, Forward, 6.85, 7.99, 82.9, 0.036
1250, 1/3, 0.842, -0.962, 1.520, -0.998, 1.598, -0.999, 1.543, -0.999, -5.000, -30.000, 0.000, Forward, 6.04, 8.06, 80.1, 0.041
1600, 1/3, 1.214, -0.979, 1.692, -0.998, 1.709, -0.999, 1.760, -1.000, -5.000, -53.000, 0.000, Forward, 4.00, 5.71, 71.5, 0.053
2000, 1/3, 1.204, -0.978, 1.696, -0.999, 1.755, -0.999, 1.775, -1.000, -5.000, -52.000, 0.000, Forward, 3.40, 5.27, 68.6, 0.063
2500, 1/3, 1.573, -0.991, 1.648, -0.997, 1.744, -0.998, 1.776, -0.999, -5.000, -52.000, 0.000, Forward, 2.82, 4.38, 65.7, 0.064
3150, 1/3, 1.404, -0.983, 1.648, -0.999, 1.656, -1.000, 1.689, -1.000, -5.000, -54.000, 0.000, Forward, 2.67, 4.51, 64.9, 0.067
4000, 1/3, 0.907, -0.986, 1.537, -0.999, 1.585, -1.000, 1.587, -1.000, -5.000, -47.000, 0.000, Forward, 2.37, 6.44, 63.3, 0.057
5000, 1/3, 0.938, -0.989, 1.332, -0.999, 1.379, -0.999, 1.398, -1.000, -5.000, -49.000, 0.000, Forward, 4.07, 6.43, 71.9, 0.050
6300, 1/3, 0.826, -0.989, 1.152, -0.999, 1.146, -1.000, 1.151, -1.000, -5.000, -43.000, 0.000, Forward, 4.78, 7.61, 75.0, 0.041
8000, 1/3, 0.556, -0.989, 0.875, -0.998, 0.912, -0.999, 0.950, -1.000, -5.000, -53.000, 0.000, Forward, 6.11, 9.67, 80.3, 0.030
10000, 1/3, 0.490, -0.983, 0.712, -0.998, 0.724, -0.999, 0.744, -1.000, -5.000, -49.000, 0.000, Forward, 6.92, 10.87, 83.1, 0.025

full, 1/3, 0.991, -0.990, 1.501, -0.999, 1.571, -0.999, 1.564, -0.999, -5.000, -34.000, 0.000, Forward, 3.71, 6.48, 70.1, 0.050

