RT60 data saved by REW V5.31.3
Source: ASIO SSL ASIO Driver 1, Input 1
Dated: 15-09-2026 11:21:24
Measurement: Parlatnte F1-P9 11:21:05
Sweep level: -12,0 dBFS
Response measured over: 0,4 to 19.999,9 Hz
Peak value: 0.004491208 at index 48000
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -1.0000000031525662 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 1.719, -0.974, 3.005, -0.985, 2.340, -0.983, 2.313, -0.987, -5.000, -37.000, 0.000, Forward, -7.14, -0.99, 16.2, 0.199
63, 1/3, 3.358, -0.978, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -5.000, -5.000, 0.000, Forward, -11.74, -6.88, 6.3, 0.281
80, 1/3, 2.535, -0.978, 1.436, -0.980, 1.514, -0.993, 1.547, -0.997, -5.000, -48.000, 0.000, Forward, -4.41, -2.29, 26.6, 0.205
100, 1/3, 2.623, -0.973, 1.415, -0.988, 1.469, -0.995, 1.531, -0.997, -5.000, -49.000, 0.000, Forward, -0.56, -0.38, 46.8, 0.160
125, 1/3, 0.652, -0.961, 1.336, -0.982, 1.385, -0.992, 1.468, -0.994, -8.000, -41.000, 0.000, Forward, 2.25, 7.10, 62.7, 0.086
160, 1/3, 0.978, -0.981, 1.682, -0.991, 1.582, -0.996, 1.622, -0.998, -5.000, -52.000, 0.000, Forward, -3.38, 2.82, 31.5, 0.105
200, 1/3, 1.678, -0.987, 1.600, -0.991, 1.703, -0.996, 1.756, -0.998, -5.000, -50.000, 0.000, Forward, -0.13, 2.37, 49.3, 0.111
250, 1/3, 1.598, -0.992, 1.361, -0.990, 1.574, -0.992, 1.696, -0.996, -5.000, -49.000, 0.000, Forward, -2.30, 0.16, 37.1, 0.119
315, 1/3, 1.702, -0.965, 1.564, -0.996, 1.621, -0.998, 1.656, -0.999, -5.000, -48.000, 0.000, Forward, 1.65, 2.70, 59.4, 0.095
400, 1/3, 1.367, -0.987, 1.630, -0.995, 1.624, -0.998, 1.715, -0.998, -5.000, -50.000, 0.000, Forward, 0.51, 2.86, 52.9, 0.088
500, 1/3, 1.578, -0.993, 1.597, -0.997, 1.647, -0.998, 1.673, -0.999, -5.000, -50.000, 0.000, Forward, -0.18, 1.05, 49.0, 0.098
630, 1/3, 1.494, -0.994, 1.581, -0.998, 1.711, -0.998, 1.735, -0.999, -5.000, -48.000, 0.000, Forward, 0.61, 2.01, 53.5, 0.088
800, 1/3, 1.413, -0.986, 1.699, -0.998, 1.734, -0.999, 1.751, -0.999, -5.000, -42.000, 0.000, Forward, 0.67, 2.31, 53.9, 0.094
1000, 1/3, 1.955, -0.997, 1.665, -0.998, 1.688, -0.999, 1.693, -1.000, -5.000, -48.000, 0.000, Forward, -0.91, 0.65, 44.8, 0.114
1250, 1/3, 1.953, -0.998, 1.840, -0.999, 1.830, -0.999, 1.839, -0.999, -5.000, -36.000, 0.000, Forward, -1.22, 0.65, 43.0, 0.118
1600, 1/3, 1.745, -0.999, 1.806, -0.999, 1.841, -0.999, 1.856, -1.000, -5.000, -47.000, 0.000, Forward, -1.45, 0.71, 41.7, 0.113
2000, 1/3, 1.785, -0.998, 1.864, -0.999, 1.845, -1.000, 1.859, -1.000, -5.000, -48.000, 0.000, Forward, -1.06, 0.41, 43.9, 0.111
2500, 1/3, 1.792, -0.998, 1.855, -0.999, 1.816, -1.000, 1.821, -1.000, -5.000, -48.000, 0.000, Forward, -1.15, 1.17, 43.4, 0.108
3150, 1/3, 1.808, -0.995, 1.650, -1.000, 1.728, -0.999, 1.626, -1.000, -5.000, -23.000, 0.000, Forward, -1.20, 0.40, 43.1, 0.112
4000, 1/3, 1.752, -0.999, 1.589, -0.999, 1.586, -1.000, 1.592, -1.000, -5.000, -43.000, 0.000, Forward, -0.78, 0.68, 45.5, 0.104
5000, 1/3, 1.487, -0.999, 1.421, -1.000, 1.439, -1.000, 1.470, -1.000, -5.000, -59.000, 0.000, Forward, 0.38, 2.20, 52.2, 0.083
6300, 1/3, 1.327, -0.998, 1.206, -0.999, 1.198, -1.000, 1.213, -1.000, -5.000, -45.000, 0.000, Forward, 1.09, 3.00, 56.3, 0.069
8000, 1/3, 1.030, -0.982, 0.962, -0.999, 0.963, -1.000, 0.965, -1.000, -5.000, -39.000, 0.000, Forward, 2.00, 3.77, 61.3, 0.054
10000, 1/3, 0.975, -0.988, 0.744, -0.998, 0.768, -0.999, 0.779, -1.000, -5.000, -50.000, 0.000, Forward, 3.57, 5.66, 69.4, 0.041

full, 1/3, 1.535, -0.998, 1.613, -1.000, 1.669, -1.000, 1.605, -1.000, -5.000, -24.000, 0.000, Forward, 0.13, 2.21, 50.8, 0.087

