RT60 data saved by REW V5.31.3
Source: ASIO SSL ASIO Driver 1, Input 1
Dated: 15-09-2026 11:36:11
Measurement: Parlatnte F2-P8 11:36:01
Sweep level: -12,0 dBFS
Response measured over: 0,4 to 19.999,9 Hz
Peak value: 0.004323 at index 48000
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -1.0000000103525888 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 2.280, -0.969, 2.299, -0.990, 2.139, -0.994, 2.135, -0.994, -5.000, -37.000, 0.000, Forward, -11.53, -6.03, 6.6, 0.233
63, 1/3, 2.673, -0.985, 2.381, -0.992, 2.298, -0.995, 2.295, -0.995, -5.000, -36.000, 0.000, Forward, -11.48, -6.74, 6.6, 0.262
80, 1/3, 1.759, -0.983, 2.111, -0.953, 1.794, -0.979, 1.766, -0.991, -5.000, -46.000, 0.000, Forward, -3.76, 0.45, 29.6, 0.164
100, 1/3, 1.652, -0.975, 1.483, -0.975, 1.592, -0.987, 1.703, -0.991, -5.000, -49.000, 0.000, Forward, -4.57, -0.99, 25.9, 0.147
125, 1/3, 1.302, -0.968, 1.413, -0.993, 1.440, -0.997, 1.414, -0.997, -5.000, -34.000, 0.000, Forward, -4.81, -2.15, 24.8, 0.133
160, 1/3, 0.967, -0.979, 1.580, -0.996, 1.521, -0.998, 1.532, -0.998, -5.000, -38.000, 0.000, Forward, -2.27, 4.57, 37.2, 0.098
200, 1/3, 1.841, -0.992, 1.368, -0.991, 1.499, -0.994, 1.605, -0.997, -5.000, -49.000, 0.000, Forward, -0.40, 1.55, 47.7, 0.118
250, 1/3, 1.483, -0.989, 1.397, -0.996, 1.448, -0.998, 1.443, -0.999, -5.000, -53.000, 0.000, Forward, -1.18, 1.63, 43.2, 0.114
315, 1/3, 1.632, -0.995, 1.468, -0.997, 1.622, -0.996, 1.496, -0.998, -5.000, -30.000, 0.000, Forward, -3.13, -0.65, 32.7, 0.124
400, 1/3, 1.107, -0.983, 1.556, -0.994, 1.681, -0.995, 1.705, -0.998, -5.000, -50.000, 0.000, Forward, -1.71, 3.09, 40.3, 0.086
500, 1/3, 1.234, -0.996, 1.522, -0.992, 1.621, -0.997, 1.694, -0.999, -5.000, -52.000, 0.000, Forward, -1.20, 3.04, 43.2, 0.087
630, 1/3, 1.338, -0.996, 1.565, -0.998, 1.633, -0.999, 1.690, -0.999, -5.000, -50.000, 0.000, Forward, -0.03, 2.96, 49.8, 0.089
800, 1/3, 1.617, -0.989, 1.745, -0.998, 1.717, -0.999, 1.698, -1.000, -5.000, -50.000, 0.000, Forward, -1.24, 1.41, 42.9, 0.107
1000, 1/3, 1.757, -0.985, 1.782, -0.999, 1.801, -0.999, 1.771, -0.999, -5.000, -32.000, 0.000, Forward, 1.18, 2.12, 56.7, 0.106
1250, 1/3, 1.990, -0.994, 1.754, -0.999, 1.839, -0.999, 1.865, -0.999, -5.000, -47.000, 0.000, Forward, -1.88, -0.08, 39.3, 0.131
1600, 1/3, 1.993, -0.999, 1.707, -0.999, 1.769, -0.999, 1.737, -0.999, -5.000, -31.000, 0.000, Forward, -2.99, -1.12, 33.4, 0.135
2000, 1/3, 1.649, -0.999, 1.812, -0.999, 1.835, -1.000, 1.826, -1.000, -5.000, -33.000, 0.000, Forward, -1.81, 0.48, 39.7, 0.110
2500, 1/3, 1.861, -0.998, 1.780, -0.999, 1.832, -1.000, 1.875, -1.000, -5.000, -47.000, 0.000, Forward, -1.53, 1.08, 41.3, 0.114
3150, 1/3, 1.778, -0.998, 1.715, -1.000, 1.730, -1.000, 1.733, -1.000, -5.000, -36.000, 0.000, Forward, -1.73, 0.59, 40.2, 0.112
4000, 1/3, 1.575, -0.999, 1.552, -0.999, 1.547, -1.000, 1.551, -1.000, -5.000, -38.000, 0.000, Forward, -0.97, 1.88, 44.4, 0.096
5000, 1/3, 1.498, -0.998, 1.413, -1.000, 1.421, -1.000, 1.426, -1.000, -5.000, -38.000, 0.000, Forward, -1.07, 1.57, 43.9, 0.094
6300, 1/3, 1.261, -0.998, 1.217, -0.999, 1.218, -1.000, 1.228, -1.000, -5.000, -49.000, 0.000, Forward, 0.79, 3.13, 54.5, 0.071
8000, 1/3, 0.968, -0.998, 0.981, -1.000, 0.974, -1.000, 0.976, -1.000, -5.000, -41.000, 0.000, Forward, 2.63, 5.09, 64.7, 0.051
10000, 1/3, 0.775, -0.993, 0.754, -0.999, 0.771, -0.999, 0.799, -1.000, -5.000, -52.000, 0.000, Forward, 3.03, 6.56, 66.8, 0.041

full, 1/3, 1.430, -0.998, 1.600, -1.000, 1.656, -1.000, 1.596, -1.000, -5.000, -24.000, 0.000, Forward, -0.73, 2.12, 45.8, 0.090

