RT60 data saved by REW V5.31.3
Source: ASIO SSL ASIO Driver 1, Input 1
Dated: 15-09-2026 11:39:58
Measurement: Parlatnte F2-P9 11:39:48
Sweep level: -12,0 dBFS
Response measured over: 0,4 to 19.999,9 Hz
Peak value: 0.005827498 at index 48000
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -1.0000000021729736 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 3.241, -0.971, 2.257, -0.990, 0.000, 0.000, 2.253, -0.994, -5.000, -29.000, 0.000, Forward, -8.17, -3.50, 13.2, 0.313
63, 1/3, 1.901, -0.953, 2.558, -0.991, 2.285, -0.993, 2.323, -0.994, -5.000, -38.000, 0.000, Forward, -13.10, -5.91, 4.7, 0.206
80, 1/3, 2.554, -0.979, 1.636, -0.994, 1.731, -0.992, 1.631, -0.995, -5.000, -34.000, 0.000, Forward, -3.22, 0.70, 32.3, 0.185
100, 1/3, 2.466, -0.989, 1.676, -0.986, 1.577, -0.993, 1.507, -0.996, -5.000, -47.000, 0.000, Forward, -2.22, 1.23, 37.5, 0.160
125, 1/3, 1.931, -0.991, 1.633, -0.991, 1.372, -0.979, 1.389, -0.993, -5.000, -49.000, 0.000, Forward, -3.58, -1.58, 30.5, 0.160
160, 1/3, 1.951, -0.993, 1.610, -0.990, 1.519, -0.995, 1.530, -0.998, -5.000, -48.000, 0.000, Forward, -6.54, -2.84, 18.2, 0.172
200, 1/3, 1.176, -0.996, 1.758, -0.992, 1.629, -0.996, 1.710, -0.998, -5.000, -51.000, 0.000, Forward, 0.35, 2.42, 52.0, 0.099
250, 1/3, 1.563, -0.988, 1.521, -0.995, 1.582, -0.998, 1.647, -0.999, -5.000, -52.000, 0.000, Forward, -0.95, 0.20, 44.5, 0.115
315, 1/3, 1.170, -0.984, 1.767, -0.992, 1.697, -0.997, 1.798, -0.998, -5.000, -49.000, 0.000, Forward, -1.24, -0.02, 42.9, 0.100
400, 1/3, 1.237, -0.988, 1.492, -0.996, 1.578, -0.998, 1.691, -0.998, -5.000, -49.000, 0.000, Forward, -0.74, 2.02, 45.7, 0.091
500, 1/3, 1.369, -0.990, 1.573, -0.995, 1.597, -0.997, 1.692, -0.998, -5.000, -52.000, 0.000, Forward, 0.18, 3.22, 51.1, 0.083
630, 1/3, 1.548, -0.993, 1.678, -0.997, 1.662, -0.999, 1.740, -0.999, -5.000, -50.000, 0.000, Forward, 0.21, 2.22, 51.2, 0.092
800, 1/3, 1.494, -0.992, 1.972, -0.999, 1.780, -0.997, 1.722, -0.999, -5.000, -51.000, 0.000, Forward, -0.52, 1.55, 47.0, 0.095
1000, 1/3, 2.089, -0.994, 1.865, -0.998, 1.812, -0.999, 1.819, -1.000, -5.000, -47.000, 0.000, Forward, -0.27, 1.20, 48.4, 0.112
1250, 1/3, 1.997, -0.995, 1.752, -0.998, 1.788, -0.999, 1.778, -0.999, -5.000, -34.000, 0.000, Forward, -2.19, 0.04, 37.6, 0.127
1600, 1/3, 1.897, -0.997, 1.788, -0.999, 1.855, -0.999, 1.855, -0.999, -5.000, -35.000, 0.000, Forward, -1.17, 0.61, 43.3, 0.113
2000, 1/3, 1.917, -0.999, 1.764, -1.000, 1.840, -0.999, 1.767, -1.000, -5.000, -27.000, 0.000, Forward, -0.70, 0.62, 46.0, 0.112
2500, 1/3, 1.835, -0.998, 1.787, -1.000, 1.858, -0.999, 1.795, -1.000, -5.000, -27.000, 0.000, Forward, -1.07, 0.56, 43.9, 0.110
3150, 1/3, 1.932, -0.999, 1.748, -1.000, 1.744, -1.000, 1.770, -1.000, -5.000, -49.000, 0.000, Forward, -1.24, 0.22, 42.9, 0.115
4000, 1/3, 1.785, -0.998, 1.648, -0.998, 1.646, -0.999, 1.651, -1.000, -5.000, -53.000, 0.000, Forward, -0.34, 1.10, 48.1, 0.099
5000, 1/3, 1.588, -0.999, 1.447, -1.000, 1.448, -1.000, 1.449, -1.000, -5.000, -37.000, 0.000, Forward, 0.46, 2.36, 52.6, 0.083
6300, 1/3, 1.422, -0.998, 1.201, -0.999, 1.208, -0.999, 1.228, -1.000, -5.000, -51.000, 0.000, Forward, 1.80, 3.62, 60.2, 0.065
8000, 1/3, 1.124, -0.996, 0.981, -1.000, 0.971, -1.000, 0.971, -1.000, -5.000, -36.000, 0.000, Forward, 3.02, 5.21, 66.7, 0.048
10000, 1/3, 0.918, -0.995, 0.789, -1.000, 0.803, -1.000, 0.807, -1.000, -5.000, -49.000, 0.000, Forward, 4.16, 6.80, 72.3, 0.036

full, 1/3, 1.610, -0.999, 1.673, -1.000, 1.681, -1.000, 1.666, -1.000, -5.000, -32.000, 0.000, Forward, 0.20, 2.08, 51.2, 0.087

