RT60 data saved by REW V5.31.3
Source: ASIO SSL ASIO Driver 1, Input 1
Dated: 15-09-2026 10:59:56
Measurement: Parlatnte F1-P4 10:59:46
Sweep level: -12,0 dBFS
Response measured over: 0,4 to 19.999,9 Hz
Peak value: 0.006725211 at index 48000
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -1.0000000159921096 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 1.629, -0.988, 1.444, -0.982, 1.681, -0.987, 1.465, -0.990, -5.000, -29.000, 0.000, Forward, -0.21, 0.91, 48.8, 0.163
63, 1/3, 1.696, -0.975, 1.875, -0.982, 1.581, -0.990, 1.583, -0.995, -5.000, -44.000, 0.000, Forward, -7.02, -0.46, 16.6, 0.173
80, 1/3, 2.309, -0.988, 1.618, -0.976, 1.482, -0.990, 1.452, -0.995, -5.000, -44.000, 0.000, Forward, -6.91, -0.53, 16.9, 0.191
100, 1/3, 1.587, -0.959, 1.910, -0.988, 1.818, -0.993, 1.758, -0.996, -5.000, -47.000, 0.000, Forward, -5.78, -3.24, 20.9, 0.179
125, 1/3, 1.603, -0.958, 1.500, -0.991, 1.549, -0.996, 1.507, -0.998, -5.000, -52.000, 0.000, Forward, 0.28, 4.26, 51.6, 0.111
160, 1/3, 0.908, -0.950, 1.613, -0.991, 1.454, -0.993, 1.548, -0.997, -5.000, -55.000, 0.000, Forward, 4.36, 5.71, 73.2, 0.082
200, 1/3, 1.181, -0.970, 1.403, -0.990, 1.451, -0.996, 1.569, -0.997, -5.000, -55.000, 0.000, Forward, 2.83, 4.37, 65.7, 0.085
250, 1/3, 1.105, -0.973, 1.577, -0.994, 1.609, -0.998, 1.524, -0.998, -5.000, -52.000, 0.000, Forward, -2.48, -0.28, 36.1, 0.104
315, 1/3, 1.192, -0.986, 1.306, -0.998, 1.440, -0.997, 1.284, -0.998, -5.000, -24.000, 0.000, Forward, -2.07, 2.44, 38.3, 0.095
400, 1/3, 1.866, -0.991, 1.347, -0.996, 1.551, -0.993, 1.347, -0.997, -5.000, -28.000, 0.000, Forward, 0.45, 1.90, 52.6, 0.098
500, 1/3, 1.357, -0.956, 1.565, -0.997, 1.632, -0.997, 1.775, -0.998, -5.000, -51.000, 0.000, Forward, 3.04, 5.60, 66.8, 0.073
630, 1/3, 1.493, -0.970, 1.560, -0.997, 1.574, -0.999, 1.574, -0.999, -5.000, -35.000, 0.000, Forward, 0.46, 3.99, 52.6, 0.086
800, 1/3, 1.164, -0.998, 1.734, -0.996, 1.621, -0.998, 1.616, -0.999, -5.000, -52.000, 0.000, Forward, 0.65, 3.07, 53.7, 0.078
1000, 1/3, 1.704, -0.981, 1.875, -0.999, 1.745, -0.998, 1.735, -0.999, -5.000, -51.000, 0.000, Forward, 3.12, 4.25, 67.2, 0.070
1250, 1/3, 1.777, -0.985, 1.635, -0.998, 1.738, -0.998, 1.768, -0.999, -5.000, -51.000, 0.000, Forward, 2.21, 3.97, 62.4, 0.073
1600, 1/3, 1.514, -0.993, 1.743, -0.997, 1.809, -0.999, 1.842, -0.999, -5.000, -49.000, 0.000, Forward, 1.06, 2.94, 56.1, 0.081
2000, 1/3, 1.699, -0.993, 1.665, -0.998, 1.762, -0.999, 1.576, -0.999, -5.000, -21.000, 0.000, Forward, 1.00, 2.76, 55.7, 0.084
2500, 1/3, 1.673, -0.988, 1.826, -0.998, 1.797, -0.999, 1.784, -1.000, -5.000, -49.000, 0.000, Forward, 2.48, 3.94, 63.9, 0.070
3150, 1/3, 1.546, -0.990, 1.739, -0.999, 1.717, -1.000, 1.725, -1.000, -5.000, -52.000, 0.000, Forward, 2.34, 4.16, 63.1, 0.070
4000, 1/3, 1.394, -0.990, 1.499, -1.000, 1.544, -1.000, 1.597, -1.000, -5.000, -57.000, 0.000, Forward, 2.42, 4.30, 63.6, 0.062
5000, 1/3, 1.222, -0.988, 1.396, -0.999, 1.405, -1.000, 1.441, -1.000, -5.000, -57.000, 0.000, Forward, 3.48, 4.69, 69.0, 0.053
6300, 1/3, 1.104, -0.994, 1.170, -1.000, 1.153, -1.000, 1.163, -1.000, -5.000, -45.000, 0.000, Forward, 3.51, 5.40, 69.2, 0.047
8000, 1/3, 0.898, -0.977, 0.962, -0.999, 0.945, -1.000, 0.956, -1.000, -5.000, -47.000, 0.000, Forward, 5.31, 7.70, 77.2, 0.033
10000, 1/3, 0.638, -0.923, 0.741, -0.999, 0.748, -1.000, 0.752, -1.000, -5.000, -41.000, 0.000, Forward, 7.07, 10.15, 83.6, 0.024

full, 1/3, 1.326, -0.994, 1.542, -1.000, 1.611, -1.000, 1.513, -1.000, -5.000, -21.000, 0.000, Forward, 2.76, 4.65, 65.4, 0.060

