RT60 data saved by REW V5.31.3
Source: ASIO SSL ASIO Driver 1, Input 1
Dated: 15-09-2026 11:18:21
Measurement: Parlatnte F1-P8 11:18:11
Sweep level: -12,0 dBFS
Response measured over: 0,4 to 19.999,9 Hz
Peak value: 0.004436491 at index 48000
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -1.0000000050601254 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 1.793, -0.979, 2.214, -0.997, 2.157, -0.998, 2.163, -0.998, -5.000, -34.000, 0.000, Forward, -8.20, -1.81, 13.2, 0.195
63, 1/3, 2.834, -0.976, 2.323, -0.946, 2.084, -0.976, 1.617, -0.977, -5.000, -20.000, 0.000, Forward, -14.57, -7.39, 3.4, 0.262
80, 1/3, 2.641, -0.991, 1.659, -0.990, 1.810, -0.988, 1.827, -0.993, -5.000, -41.000, 0.000, Forward, -6.01, -2.67, 20.0, 0.198
100, 1/3, 2.013, -0.945, 1.849, -0.981, 1.792, -0.993, 1.743, -0.996, -5.000, -48.000, 0.000, Forward, 1.70, 3.79, 59.6, 0.115
125, 1/3, 0.584, -0.944, 1.709, -0.972, 1.637, -0.991, 1.715, -0.997, -9.000, -52.000, 0.000, Forward, 3.08, 8.03, 67.0, 0.083
160, 1/3, 1.204, -0.991, 1.659, -0.993, 1.603, -0.997, 1.587, -0.999, -5.000, -49.000, 0.000, Forward, -2.76, 2.30, 34.6, 0.113
200, 1/3, 1.190, -0.985, 1.887, -0.988, 1.666, -0.994, 1.674, -0.998, -5.000, -52.000, 0.000, Forward, -1.46, 4.08, 41.7, 0.104
250, 1/3, 1.307, -0.984, 1.638, -0.993, 1.565, -0.997, 1.633, -0.998, -5.000, -45.000, 0.000, Forward, -5.67, -0.89, 21.3, 0.127
315, 1/3, 1.495, -0.986, 1.536, -0.996, 1.708, -0.995, 1.554, -0.998, -5.000, -29.000, 0.000, Forward, -1.76, 1.67, 40.0, 0.106
400, 1/3, 1.543, -0.989, 1.581, -0.993, 1.736, -0.996, 1.888, -0.997, -5.000, -48.000, 0.000, Forward, -0.26, 3.07, 48.5, 0.089
500, 1/3, 1.387, -0.994, 1.427, -0.988, 1.616, -0.992, 1.730, -0.997, -5.000, -51.000, 0.000, Forward, -0.76, 2.30, 45.7, 0.087
630, 1/3, 1.172, -0.990, 1.617, -0.998, 1.647, -0.999, 1.685, -0.999, -5.000, -53.000, 0.000, Forward, 1.28, 3.77, 57.3, 0.078
800, 1/3, 1.714, -0.986, 1.724, -0.995, 1.771, -0.998, 1.827, -0.999, -5.000, -49.000, 0.000, Forward, 0.82, 1.78, 54.7, 0.100
1000, 1/3, 1.895, -0.995, 1.738, -0.997, 1.729, -0.999, 1.754, -0.999, -5.000, -47.000, 0.000, Forward, -1.55, -0.33, 41.2, 0.121
1250, 1/3, 1.667, -0.999, 1.710, -0.999, 1.852, -0.998, 1.725, -0.999, -5.000, -27.000, 0.000, Forward, -2.89, -0.07, 34.0, 0.120
1600, 1/3, 1.845, -0.998, 1.826, -0.999, 1.828, -1.000, 1.828, -1.000, -5.000, -35.000, 0.000, Forward, -1.72, 0.75, 40.2, 0.114
2000, 1/3, 1.874, -0.997, 1.806, -0.999, 1.797, -1.000, 1.810, -1.000, -5.000, -47.000, 0.000, Forward, -1.36, 0.44, 42.2, 0.115
2500, 1/3, 1.824, -0.998, 1.668, -0.999, 1.757, -0.999, 1.683, -0.999, -5.000, -28.000, 0.000, Forward, -0.97, 0.90, 44.4, 0.109
3150, 1/3, 1.776, -0.999, 1.736, -0.999, 1.804, -0.999, 1.808, -1.000, -5.000, -49.000, 0.000, Forward, -1.39, 0.61, 42.1, 0.106
4000, 1/3, 1.660, -0.999, 1.630, -1.000, 1.635, -1.000, 1.664, -1.000, -5.000, -53.000, 0.000, Forward, -0.57, 1.32, 46.7, 0.097
5000, 1/3, 1.505, -0.998, 1.425, -1.000, 1.443, -1.000, 1.476, -1.000, -5.000, -54.000, 0.000, Forward, -0.01, 1.89, 49.9, 0.087
6300, 1/3, 1.379, -0.996, 1.187, -1.000, 1.203, -1.000, 1.177, -1.000, -5.000, -24.000, 0.000, Forward, 1.13, 2.80, 56.5, 0.071
8000, 1/3, 1.067, -0.994, 0.980, -1.000, 0.959, -1.000, 0.963, -1.000, -5.000, -42.000, 0.000, Forward, 2.55, 4.37, 64.3, 0.052
10000, 1/3, 0.931, -0.993, 0.752, -0.997, 0.771, -0.999, 0.778, -1.000, -5.000, -47.000, 0.000, Forward, 3.69, 6.08, 70.1, 0.039

full, 1/3, 1.479, -0.999, 1.614, -1.000, 1.689, -0.999, 1.589, -1.000, -5.000, -20.000, 0.000, Forward, -0.02, 2.31, 49.9, 0.086

