RT60 data saved by REW V5.31.3
Source: ASIO SSL ASIO Driver 1, Input 1
Dated: 15-09-2026 11:03:23
Measurement: Parlatnte F1-P6 11:03:14
Sweep level: -12,0 dBFS
Response measured over: 0,4 to 19.999,9 Hz
Peak value: 0.00709499 at index 48000
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -1.0000000131761198 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 1.285, -0.963, 2.274, -0.995, 2.008, -0.992, 2.249, -0.995, -5.000, -27.000, 0.000, Forward, 0.11, 5.08, 50.6, 0.145
63, 1/3, 1.797, -0.957, 1.699, -0.990, 1.767, -0.991, 1.814, -0.995, -5.000, -21.000, 0.000, Forward, 2.86, 3.58, 65.9, 0.131
80, 1/3, 0.821, -0.943, 1.893, -0.986, 1.602, -0.991, 1.672, -0.995, -5.000, -47.000, 0.000, Forward, -1.80, 6.93, 39.8, 0.113
100, 1/3, 0.955, -0.964, 1.933, -0.977, 1.590, -0.984, 1.549, -0.994, -5.000, -50.000, 0.000, Forward, 3.41, 6.59, 68.7, 0.100
125, 1/3, 1.065, -0.977, 1.482, -0.995, 1.387, -0.998, 1.397, -0.998, -5.000, -38.000, 0.000, Forward, -3.26, 3.01, 32.1, 0.116
160, 1/3, 1.162, -0.986, 1.325, -0.987, 1.471, -0.993, 1.654, -0.996, -5.000, -54.000, 0.000, Forward, -0.72, 2.55, 45.9, 0.103
200, 1/3, 1.232, -0.988, 1.454, -0.997, 1.477, -0.998, 1.471, -0.999, -5.000, -48.000, 0.000, Forward, -0.16, 1.66, 49.1, 0.103
250, 1/3, 0.907, -0.977, 1.463, -0.993, 1.593, -0.996, 1.691, -0.998, -5.000, -54.000, 0.000, Forward, -2.70, 1.32, 34.9, 0.093
315, 1/3, 1.516, -0.990, 1.380, -0.997, 1.583, -0.995, 1.380, -0.997, -5.000, -25.000, 0.000, Forward, -2.50, 2.80, 36.0, 0.105
400, 1/3, 1.358, -0.977, 1.498, -0.994, 1.557, -0.997, 1.514, -0.998, -5.000, -33.000, 0.000, Forward, 2.20, 2.95, 62.4, 0.082
500, 1/3, 1.024, -0.977, 1.642, -0.993, 1.685, -0.997, 1.614, -0.999, -5.000, -56.000, 0.000, Forward, 3.12, 5.01, 67.2, 0.073
630, 1/3, 0.983, -0.961, 1.545, -0.997, 1.549, -0.999, 1.630, -0.999, -5.000, -55.000, 0.000, Forward, 4.68, 5.90, 74.6, 0.063
800, 1/3, 1.265, -0.988, 1.486, -0.997, 1.632, -0.997, 1.658, -0.999, -5.000, -56.000, 0.000, Forward, 2.62, 5.09, 64.6, 0.062
1000, 1/3, 1.278, -0.933, 1.647, -0.999, 1.750, -0.998, 1.771, -0.999, -5.000, -54.000, 0.000, Forward, 5.76, 7.44, 79.0, 0.041
1250, 1/3, 1.396, -0.967, 1.534, -0.999, 1.669, -0.998, 1.765, -0.999, -5.000, -54.000, 0.000, Forward, 4.76, 6.56, 74.9, 0.046
1600, 1/3, 1.431, -0.987, 1.565, -0.998, 1.702, -0.998, 1.768, -0.999, -5.000, -52.000, 0.000, Forward, 2.38, 4.19, 63.4, 0.070
2000, 1/3, 1.406, -0.995, 1.649, -0.999, 1.704, -0.999, 1.733, -0.999, -5.000, -40.000, 0.000, Forward, 1.64, 3.82, 59.4, 0.076
2500, 1/3, 1.363, -0.983, 1.652, -1.000, 1.729, -0.999, 1.641, -1.000, -5.000, -24.000, 0.000, Forward, 3.96, 5.48, 71.4, 0.056
3150, 1/3, 1.268, -0.994, 1.658, -0.999, 1.691, -1.000, 1.722, -1.000, -5.000, -53.000, 0.000, Forward, 1.52, 4.41, 58.7, 0.068
4000, 1/3, 1.074, -0.989, 1.539, -1.000, 1.556, -1.000, 1.596, -1.000, -5.000, -58.000, 0.000, Forward, 2.87, 5.51, 65.9, 0.061
5000, 1/3, 0.863, -0.987, 1.360, -0.999, 1.395, -1.000, 1.416, -1.000, -5.000, -52.000, 0.000, Forward, 4.31, 6.69, 72.9, 0.049
6300, 1/3, 0.767, -0.993, 1.101, -0.999, 1.139, -0.999, 1.174, -1.000, -5.000, -54.000, 0.000, Forward, 4.15, 7.52, 72.2, 0.042
8000, 1/3, 0.580, -0.988, 0.891, -0.995, 0.904, -0.998, 0.928, -0.999, -5.000, -49.000, 0.000, Forward, 5.07, 9.47, 76.3, 0.034
10000, 1/3, 0.534, -0.989, 0.696, -0.995, 0.724, -0.998, 0.771, -0.999, -5.000, -60.000, 0.000, Forward, 6.25, 11.06, 80.8, 0.028

full, 1/3, 1.006, -0.991, 1.478, -0.999, 1.566, -0.999, 1.610, -0.999, -5.000, -43.000, 0.000, Forward, 3.51, 6.10, 69.2, 0.053

