RT60 data saved by REW V5.31.3
Source: ASIO SSL ASIO Driver 1, Input 1
Dated: 15-09-2026 12:09:07
Measurement: Parlatnte F2-P4 12:08:40
Sweep level: -12,0 dBFS
Response measured over: 0,4 to 19.999,9 Hz
Peak value: 0.0036710557 at index 48000
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -1.0000000006623178 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 1.188, -0.980, 2.226, -0.985, 2.382, -0.993, 2.466, -0.994, -10.000, -39.000, 0.000, Forward, 1.70, 5.11, 59.7, 0.137
63, 1/3, 1.674, -0.984, 2.098, -0.953, 2.318, -0.977, 2.337, -0.989, -5.000, -41.000, 0.000, Forward, 0.42, 0.96, 52.4, 0.149
80, 1/3, 1.572, -0.986, 1.694, -0.995, 1.789, -0.997, 1.777, -0.999, -5.000, -48.000, 0.000, Forward, 1.80, 2.60, 60.2, 0.129
100, 1/3, 1.795, -0.966, 1.302, -0.991, 1.566, -0.990, 1.620, -0.996, -5.000, -45.000, 0.000, Forward, 0.96, 1.57, 55.5, 0.135
125, 1/3, 1.718, -0.975, 1.490, -0.991, 1.416, -0.996, 1.452, -0.997, -5.000, -42.000, 0.000, Forward, -1.88, -0.98, 39.3, 0.143
160, 1/3, 1.010, -0.906, 1.948, -0.995, 1.887, -0.995, 1.951, -0.997, -5.000, -32.000, 0.000, Forward, 5.86, 7.14, 79.4, 0.077
200, 1/3, 1.366, -0.969, 1.556, -0.996, 1.558, -0.998, 1.539, -0.999, -5.000, -47.000, 0.000, Forward, 2.60, 3.45, 64.6, 0.094
250, 1/3, 1.358, -0.987, 1.469, -0.992, 1.683, -0.992, 1.718, -0.997, -5.000, -51.000, 0.000, Forward, -1.62, -1.03, 40.8, 0.119
315, 1/3, 1.642, -0.992, 1.537, -0.996, 1.568, -0.997, 1.589, -0.999, -5.000, -49.000, 0.000, Forward, -2.60, -1.50, 35.5, 0.128
400, 1/3, 1.751, -0.994, 1.400, -0.996, 1.605, -0.994, 1.361, -0.997, -5.000, -24.000, 0.000, Forward, -0.65, 0.13, 46.3, 0.109
500, 1/3, 1.505, -0.988, 1.579, -0.997, 1.649, -0.998, 1.712, -0.999, -5.000, -51.000, 0.000, Forward, -1.34, 0.64, 42.3, 0.105
630, 1/3, 1.558, -0.986, 1.487, -0.998, 1.587, -0.998, 1.615, -0.999, -5.000, -53.000, 0.000, Forward, 0.49, 1.93, 52.8, 0.100
800, 1/3, 1.560, -0.997, 1.706, -1.000, 1.785, -0.999, 1.820, -1.000, -5.000, -48.000, 0.000, Forward, -1.07, 1.56, 43.9, 0.098
1000, 1/3, 1.474, -0.996, 1.682, -0.998, 1.785, -0.999, 1.822, -0.999, -5.000, -44.000, 0.000, Forward, -0.95, 1.02, 44.6, 0.103
1250, 1/3, 1.657, -0.982, 1.804, -0.999, 1.768, -0.999, 1.769, -1.000, -5.000, -50.000, 0.000, Forward, 1.24, 3.86, 57.1, 0.080
1600, 1/3, 1.557, -0.996, 1.796, -0.998, 1.752, -0.999, 1.811, -0.999, -5.000, -49.000, 0.000, Forward, -2.63, -0.34, 35.3, 0.111
2000, 1/3, 1.535, -0.999, 1.839, -1.000, 1.781, -1.000, 1.760, -1.000, -5.000, -49.000, 0.000, Forward, -2.41, 0.16, 36.5, 0.112
2500, 1/3, 1.470, -0.999, 1.781, -0.999, 1.744, -1.000, 1.763, -1.000, -5.000, -50.000, 0.000, Forward, -1.60, 1.15, 40.9, 0.102
3150, 1/3, 1.701, -0.997, 1.702, -0.999, 1.699, -1.000, 1.700, -1.000, -5.000, -41.000, 0.000, Forward, -0.59, 2.12, 46.6, 0.093
4000, 1/3, 1.358, -0.997, 1.584, -0.999, 1.605, -1.000, 1.626, -1.000, -5.000, -55.000, 0.000, Forward, -1.35, 2.05, 42.3, 0.089
5000, 1/3, 1.294, -0.997, 1.388, -1.000, 1.429, -1.000, 1.458, -1.000, -5.000, -60.000, 0.000, Forward, -0.24, 2.59, 48.6, 0.080
6300, 1/3, 1.167, -0.998, 1.196, -1.000, 1.200, -1.000, 1.213, -1.000, -5.000, -55.000, 0.000, Forward, -0.49, 2.77, 47.2, 0.074
8000, 1/3, 0.988, -0.996, 0.951, -1.000, 0.952, -1.000, 0.952, -1.000, -5.000, -35.000, 0.000, Forward, 1.07, 3.87, 56.1, 0.058
10000, 1/3, 0.799, -0.994, 0.767, -0.999, 0.784, -1.000, 0.742, -1.000, -5.000, -21.000, 0.000, Forward, 2.92, 6.62, 66.2, 0.041

full, 1/3, 1.389, -0.999, 1.572, -1.000, 1.632, -1.000, 1.562, -1.000, -5.000, -24.000, 0.000, Forward, -0.30, 2.18, 48.3, 0.085

