RT60 data saved by REW V5.31.3
Source: ASIO SSL ASIO Driver 1, Input 1
Dated: 15-09-2026 11:02:21
Measurement: Parlatnte F1-P5 11:02:12
Sweep level: -12,0 dBFS
Response measured over: 0,4 to 19.999,9 Hz
Peak value: 0.0054611694 at index 48000
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -1.0000000036326642 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 1.139, -0.884, 2.782, -0.987, 2.149, -0.978, 2.081, -0.989, -5.000, -42.000, 0.000, Forward, -8.71, 0.16, 11.9, 0.161
63, 1/3, 1.087, -0.897, 2.117, -0.979, 2.177, -0.991, 2.134, -0.992, -12.000, -42.000, 0.000, Forward, -11.02, -2.86, 7.3, 0.157
80, 1/3, 1.326, -0.966, 1.801, -0.981, 2.110, -0.990, 2.334, -0.993, -5.000, -43.000, 0.000, Forward, -2.24, -1.77, 37.4, 0.139
100, 1/3, 0.974, -0.972, 1.709, -0.984, 1.658, -0.994, 1.722, -0.997, -5.000, -46.000, 0.000, Forward, 1.62, 5.15, 59.2, 0.103
125, 1/3, 1.892, -0.990, 1.359, -0.992, 1.330, -0.994, 1.392, -0.997, -5.000, -47.000, 0.000, Forward, -6.33, -3.32, 18.9, 0.174
160, 1/3, 1.175, -0.968, 1.588, -0.994, 1.493, -0.996, 1.493, -0.996, -5.000, -35.000, 0.000, Forward, 1.40, 5.37, 58.0, 0.100
200, 1/3, 0.730, -0.982, 1.305, -0.993, 1.358, -0.996, 1.377, -0.997, -5.000, -38.000, 0.000, Forward, -0.49, 4.29, 47.2, 0.082
250, 1/3, 0.988, -0.951, 1.339, -0.990, 1.439, -0.993, 1.538, -0.998, -5.000, -58.000, 0.000, Forward, -0.25, 1.15, 48.6, 0.092
315, 1/3, 1.546, -0.989, 1.216, -0.997, 1.414, -0.994, 1.433, -0.997, -5.000, -46.000, 0.000, Forward, 0.98, 1.90, 55.6, 0.093
400, 1/3, 1.752, -0.964, 1.367, -0.995, 1.479, -0.997, 1.522, -0.998, -5.000, -44.000, 0.000, Forward, 2.43, 3.73, 63.6, 0.079
500, 1/3, 1.092, -0.965, 1.546, -0.998, 1.592, -0.999, 1.611, -0.999, -5.000, -55.000, 0.000, Forward, 1.77, 5.40, 60.0, 0.078
630, 1/3, 1.515, -0.982, 1.628, -0.998, 1.630, -0.999, 1.673, -1.000, -5.000, -49.000, 0.000, Forward, 1.76, 2.46, 60.0, 0.091
800, 1/3, 1.196, -0.966, 1.366, -0.992, 1.533, -0.995, 1.678, -0.998, -5.000, -56.000, 0.000, Forward, 3.70, 6.67, 70.1, 0.056
1000, 1/3, 0.580, -0.975, 1.407, -0.991, 1.586, -0.995, 1.720, -0.999, -9.000, -57.000, 0.000, Forward, 7.01, 9.39, 83.4, 0.037
1250, 1/3, 0.552, -0.961, 1.510, -0.996, 1.565, -0.998, 1.624, -1.000, -9.000, -58.000, 0.000, Forward, 6.74, 8.52, 82.5, 0.044
1600, 1/3, 0.737, -0.971, 1.499, -0.996, 1.618, -0.998, 1.715, -0.999, -9.000, -53.000, 0.000, Forward, 5.27, 7.93, 77.1, 0.045
2000, 1/3, 0.951, -0.982, 1.595, -0.999, 1.672, -0.999, 1.726, -1.000, -5.000, -54.000, 0.000, Forward, 3.89, 6.14, 71.0, 0.057
2500, 1/3, 1.157, -0.979, 1.580, -0.999, 1.674, -0.999, 1.727, -1.000, -5.000, -55.000, 0.000, Forward, 4.67, 6.42, 74.5, 0.049
3150, 1/3, 1.023, -0.978, 1.550, -0.998, 1.637, -0.999, 1.680, -1.000, -5.000, -57.000, 0.000, Forward, 4.71, 6.88, 74.7, 0.048
4000, 1/3, 0.952, -0.975, 1.428, -0.999, 1.458, -1.000, 1.458, -1.000, -5.000, -35.000, 0.000, Forward, 5.21, 7.27, 76.9, 0.043
5000, 1/3, 0.791, -0.975, 1.294, -0.999, 1.324, -1.000, 1.331, -1.000, -5.000, -38.000, 0.000, Forward, 6.08, 8.19, 80.2, 0.037
6300, 1/3, 0.579, -0.976, 1.079, -0.999, 1.154, -0.999, 1.182, -1.000, -5.000, -57.000, 0.000, Forward, 6.67, 8.98, 82.3, 0.035
8000, 1/3, 0.452, -0.986, 0.887, -0.996, 0.903, -0.999, 0.914, -1.000, -5.000, -49.000, 0.000, Forward, 7.42, 10.87, 84.6, 0.028
10000, 1/3, 0.320, -0.963, 0.718, -0.992, 0.727, -0.998, 0.761, -1.000, -10.000, -53.000, 0.000, Forward, 9.45, 13.09, 89.8, 0.024

full, 1/3, 0.879, -0.982, 1.410, -0.999, 1.516, -0.999, 1.372, -0.999, -5.000, -22.000, 0.000, Forward, 4.99, 7.08, 75.9, 0.045

