RT60 data saved by REW V5.31.3
Source: ASIO SSL ASIO Driver 1, Input 1
Dated: 15-09-2026 10:52:39
Measurement: Parlatnte F1-P1 10:52:30
Sweep level: -12,0 dBFS
Response measured over: 0,4 to 19.999,9 Hz
Peak value: 0.0063383924 at index 48000
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -1.0000000143347634 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 1.568, -0.979, 1.915, -0.997, 1.844, -0.997, 1.931, -0.998, -5.000, -29.000, 0.000, Forward, -3.74, -0.52, 29.7, 0.174
63, 1/3, 2.090, -0.956, 2.731, -0.975, 2.637, -0.989, 2.563, -0.990, -5.000, -37.000, 0.000, Forward, -5.41, -1.76, 22.3, 0.194
80, 1/3, 2.192, -0.980, 1.781, -0.993, 1.711, -0.995, 1.713, -0.997, -5.000, -45.000, 0.000, Forward, -10.85, -5.14, 7.6, 0.225
100, 1/3, 1.249, -0.939, 1.663, -0.992, 1.502, -0.991, 1.583, -0.995, -5.000, -47.000, 0.000, Forward, -11.88, -6.93, 6.1, 0.160
125, 1/3, 1.136, -0.960, 1.589, -0.994, 1.747, -0.996, 1.778, -0.998, -5.000, -49.000, 0.000, Forward, -3.86, -1.83, 29.2, 0.123
160, 1/3, 1.375, -0.994, 1.670, -0.986, 1.628, -0.993, 1.703, -0.998, -5.000, -52.000, 0.000, Forward, -0.75, 1.59, 45.7, 0.107
200, 1/3, 1.212, -0.995, 1.547, -0.990, 1.592, -0.994, 1.601, -0.999, -5.000, -54.000, 0.000, Forward, -0.56, 1.72, 46.8, 0.108
250, 1/3, 1.286, -0.996, 1.507, -0.993, 1.606, -0.996, 1.567, -0.997, -5.000, -34.000, 0.000, Forward, -0.47, 1.81, 47.3, 0.100
315, 1/3, 1.404, -0.966, 1.653, -0.993, 1.594, -0.998, 1.651, -0.999, -5.000, -52.000, 0.000, Forward, 0.29, 1.16, 51.7, 0.102
400, 1/3, 1.902, -0.983, 1.584, -0.997, 1.468, -0.997, 1.546, -0.998, -5.000, -51.000, 0.000, Forward, 1.15, 2.16, 56.6, 0.092
500, 1/3, 1.824, -0.941, 1.414, -0.994, 1.463, -0.997, 1.529, -0.998, -5.000, -44.000, 0.000, Forward, 3.25, 4.65, 67.9, 0.080
630, 1/3, 1.712, -0.981, 1.464, -0.994, 1.576, -0.997, 1.672, -0.998, -5.000, -53.000, 0.000, Forward, 0.86, 2.77, 54.9, 0.094
800, 1/3, 1.262, -0.988, 1.687, -0.997, 1.708, -0.998, 1.759, -0.999, -5.000, -46.000, 0.000, Forward, 2.23, 4.69, 62.6, 0.069
1000, 1/3, 1.240, -0.966, 1.693, -0.999, 1.709, -0.999, 1.709, -1.000, -5.000, -53.000, 0.000, Forward, 4.17, 5.94, 72.3, 0.055
1250, 1/3, 1.505, -0.990, 1.599, -0.997, 1.680, -0.998, 1.753, -0.999, -5.000, -52.000, 0.000, Forward, 2.42, 4.15, 63.6, 0.069
1600, 1/3, 1.667, -0.987, 1.702, -0.999, 1.782, -0.999, 1.814, -1.000, -5.000, -50.000, 0.000, Forward, 1.54, 3.76, 58.8, 0.079
2000, 1/3, 1.552, -0.996, 1.746, -0.999, 1.792, -0.999, 1.790, -1.000, -5.000, -49.000, 0.000, Forward, -0.45, 2.59, 47.4, 0.091
2500, 1/3, 1.469, -0.992, 1.760, -1.000, 1.779, -1.000, 1.788, -1.000, -5.000, -42.000, 0.000, Forward, 2.00, 4.34, 61.3, 0.069
3150, 1/3, 1.522, -0.986, 1.698, -1.000, 1.677, -1.000, 1.719, -1.000, -5.000, -53.000, 0.000, Forward, 2.51, 4.22, 64.1, 0.065
4000, 1/3, 1.361, -0.992, 1.514, -0.999, 1.532, -1.000, 1.549, -1.000, -5.000, -45.000, 0.000, Forward, 2.89, 4.56, 66.0, 0.061
5000, 1/3, 1.137, -0.991, 1.324, -0.999, 1.389, -0.999, 1.418, -1.000, -5.000, -60.000, 0.000, Forward, 3.36, 5.24, 68.5, 0.050
6300, 1/3, 0.918, -0.990, 1.176, -0.999, 1.196, -1.000, 1.214, -1.000, -5.000, -58.000, 0.000, Forward, 4.11, 6.75, 72.0, 0.041
8000, 1/3, 0.738, -0.988, 0.936, -0.999, 0.938, -1.000, 0.953, -1.000, -5.000, -48.000, 0.000, Forward, 5.08, 8.29, 76.3, 0.034
10000, 1/3, 0.577, -0.956, 0.743, -0.997, 0.748, -0.999, 0.763, -1.000, -5.000, -50.000, 0.000, Forward, 6.52, 10.58, 81.8, 0.025

full, 1/3, 1.277, -0.994, 1.539, -1.000, 1.590, -1.000, 1.497, -1.000, -5.000, -21.000, 0.000, Forward, 2.90, 4.87, 66.1, 0.058

