RT60 data saved by REW V5.31.3
Source: ASIO SSL ASIO Driver 1, Input 1
Dated: 15-09-2026 12:13:33
Measurement: Parlante F2-P7 12:13:23
Sweep level: -12,0 dBFS
Response measured over: 0,4 to 19.999,9 Hz
Peak value: 0.0052299984 at index 48000
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -1.0000000074812274 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 2.779, -0.969, 2.410, -0.976, 2.455, -0.993, 2.455, -0.993, -5.000, -35.000, 0.000, Forward, -1.79, -0.21, 39.8, 0.206
63, 1/3, 1.012, -0.964, 1.951, -0.989, 1.721, -0.990, 1.677, -0.994, -5.000, -43.000, 0.000, Forward, 4.37, 6.51, 73.2, 0.107
80, 1/3, 1.089, -0.950, 1.706, -0.967, 1.518, -0.987, 1.606, -0.993, -5.000, -49.000, 0.000, Forward, -2.67, 3.24, 35.1, 0.119
100, 1/3, 1.232, -0.989, 1.409, -0.984, 1.440, -0.995, 1.488, -0.997, -5.000, -43.000, 0.000, Forward, -1.00, 2.97, 44.3, 0.122
125, 1/3, 1.691, -0.967, 1.526, -0.978, 1.672, -0.991, 1.759, -0.994, -5.000, -43.000, 0.000, Forward, -6.53, 0.99, 18.2, 0.137
160, 1/3, 1.391, -0.980, 1.731, -0.994, 1.668, -0.997, 1.651, -0.998, -5.000, -49.000, 0.000, Forward, -5.14, -0.47, 23.4, 0.137
200, 1/3, 1.062, -0.983, 1.630, -0.995, 1.586, -0.997, 1.548, -0.998, -5.000, -55.000, 0.000, Forward, -2.56, 3.81, 35.7, 0.101
250, 1/3, 1.034, -0.992, 1.179, -0.990, 1.440, -0.989, 1.606, -0.995, -5.000, -56.000, 0.000, Forward, -0.86, 3.67, 45.1, 0.091
315, 1/3, 0.727, -0.985, 1.568, -0.992, 1.703, -0.995, 1.753, -0.998, -9.000, -53.000, 0.000, Forward, 3.30, 7.27, 68.1, 0.065
400, 1/3, 1.578, -0.965, 1.524, -0.998, 1.614, -0.999, 1.676, -0.999, -5.000, -54.000, 0.000, Forward, 3.26, 4.54, 67.9, 0.072
500, 1/3, 1.183, -0.972, 1.632, -0.997, 1.594, -0.999, 1.660, -0.999, -5.000, -52.000, 0.000, Forward, 0.76, 4.63, 54.3, 0.085
630, 1/3, 1.095, -0.987, 1.605, -0.993, 1.697, -0.997, 1.643, -0.999, -5.000, -56.000, 0.000, Forward, 2.89, 4.84, 66.1, 0.068
800, 1/3, 0.919, -0.978, 1.517, -0.998, 1.587, -0.999, 1.665, -0.999, -5.000, -56.000, 0.000, Forward, 3.98, 7.17, 71.5, 0.050
1000, 1/3, 0.632, -0.986, 1.567, -0.996, 1.680, -0.998, 1.696, -1.000, -9.000, -57.000, 0.000, Forward, 6.24, 9.01, 80.8, 0.041
1250, 1/3, 0.712, -0.923, 1.473, -0.998, 1.624, -0.998, 1.740, -0.999, -10.000, -58.000, 0.000, Forward, 7.57, 9.07, 85.1, 0.033
1600, 1/3, 0.449, -0.964, 1.522, -0.995, 1.652, -0.997, 1.747, -1.000, -10.000, -57.000, 0.000, Forward, 7.72, 10.31, 85.5, 0.035
2000, 1/3, 1.294, -0.976, 1.604, -0.999, 1.662, -0.999, 1.687, -1.000, -5.000, -54.000, 0.000, Forward, 2.96, 5.38, 66.4, 0.063
2500, 1/3, 1.322, -0.979, 1.621, -0.998, 1.700, -0.999, 1.782, -0.999, -5.000, -53.000, 0.000, Forward, 3.45, 5.30, 68.9, 0.060
3150, 1/3, 1.040, -0.966, 1.537, -0.999, 1.586, -1.000, 1.542, -1.000, -5.000, -28.000, 0.000, Forward, 5.16, 6.89, 76.6, 0.048
4000, 1/3, 1.095, -0.960, 1.454, -0.999, 1.501, -0.999, 1.564, -1.000, -5.000, -59.000, 0.000, Forward, 4.55, 6.55, 74.0, 0.053
5000, 1/3, 0.786, -0.983, 1.292, -0.999, 1.328, -0.999, 1.304, -0.999, -5.000, -32.000, 0.000, Forward, 5.45, 8.04, 77.8, 0.040
6300, 1/3, 0.603, -0.975, 1.099, -0.998, 1.107, -0.999, 1.115, -1.000, -5.000, -38.000, 0.000, Forward, 6.49, 8.94, 81.7, 0.034
8000, 1/3, 0.359, -0.989, 0.901, -0.993, 0.915, -0.998, 0.947, -1.000, -10.000, -50.000, 0.000, Forward, 8.85, 12.12, 88.5, 0.024
10000, 1/3, 0.314, -0.987, 0.686, -0.988, 0.734, -0.996, 0.769, -1.000, -11.000, -49.000, 0.000, Forward, 10.16, 13.70, 91.2, 0.020

full, 1/3, 0.797, -0.979, 1.436, -0.999, 1.549, -0.999, 1.588, -0.999, -5.000, -42.000, 0.000, Forward, 5.52, 7.96, 78.1, 0.041

