RT60 data saved by REW V5.31.3
Source: ASIO SSL ASIO Driver 1, Input 1
Dated: 15-09-2026 12:06:26
Measurement: Parlatnte F2-P5 12:06:16
Sweep level: -12,0 dBFS
Response measured over: 0,4 to 19.999,9 Hz
Peak value: 0.004806468 at index 48000
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -1.0000000098510229 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)

50, 1/3, 1.215, -0.937, 2.530, -0.993, 2.356, -0.996, 2.324, -0.997, -5.000, -39.000, 0.000, Forward, -8.63, 0.34, 12.1, 0.168
63, 1/3, 1.193, -0.983, 1.706, -0.964, 1.752, -0.986, 1.802, -0.989, -5.000, -44.000, 0.000, Forward, 2.55, 4.69, 64.3, 0.125
80, 1/3, 0.950, -0.871, 1.870, -0.968, 1.856, -0.989, 2.019, -0.993, -5.000, -47.000, 0.000, Forward, -2.79, 4.51, 34.5, 0.110
100, 1/3, 1.145, -0.973, 2.116, -0.974, 2.082, -0.993, 2.111, -0.995, -5.000, -38.000, 0.000, Forward, -6.29, 1.06, 19.0, 0.128
125, 1/3, 1.542, -0.963, 1.576, -0.971, 1.634, -0.989, 1.536, -0.991, -5.000, -33.000, 0.000, Forward, -10.86, -7.25, 7.6, 0.167
160, 1/3, 1.532, -0.992, 1.410, -0.992, 1.338, -0.994, 1.293, -0.996, -5.000, -34.000, 0.000, Forward, -6.75, 0.28, 17.4, 0.141
200, 1/3, 1.321, -0.990, 1.397, -0.989, 1.425, -0.994, 1.606, -0.996, -5.000, -54.000, 0.000, Forward, -5.18, 1.42, 23.3, 0.123
250, 1/3, 0.870, -0.925, 1.578, -0.994, 1.512, -0.997, 1.564, -0.998, -5.000, -44.000, 0.000, Forward, 0.32, 7.68, 51.8, 0.079
315, 1/3, 0.980, -0.971, 1.625, -0.994, 1.526, -0.998, 1.557, -0.999, -5.000, -55.000, 0.000, Forward, 4.29, 6.22, 72.9, 0.065
400, 1/3, 1.011, -0.978, 1.510, -0.997, 1.459, -0.996, 1.563, -0.998, -5.000, -55.000, 0.000, Forward, 3.25, 4.56, 67.9, 0.075
500, 1/3, 1.273, -0.957, 1.416, -0.996, 1.620, -0.995, 1.705, -0.998, -5.000, -53.000, 0.000, Forward, 2.38, 5.66, 63.4, 0.073
630, 1/3, 1.026, -0.964, 1.379, -0.998, 1.548, -0.997, 1.653, -0.999, -5.000, -56.000, 0.000, Forward, 2.17, 5.78, 62.2, 0.068
800, 1/3, 0.769, -0.986, 1.566, -0.997, 1.543, -0.999, 1.642, -0.999, -8.000, -57.000, 0.000, Forward, 3.85, 7.69, 70.8, 0.050
1000, 1/3, 0.863, -0.967, 1.701, -0.996, 1.699, -0.998, 1.699, -0.999, -5.000, -55.000, 0.000, Forward, 4.64, 7.96, 74.4, 0.043
1250, 1/3, 1.025, -0.974, 1.652, -0.999, 1.681, -0.999, 1.729, -1.000, -5.000, -55.000, 0.000, Forward, 4.89, 7.02, 75.5, 0.047
1600, 1/3, 0.929, -0.981, 1.528, -0.999, 1.647, -0.998, 1.541, -0.999, -5.000, -27.000, 0.000, Forward, 4.21, 6.27, 72.5, 0.053
2000, 1/3, 0.908, -0.973, 1.561, -0.998, 1.705, -0.998, 1.746, -0.999, -5.000, -54.000, 0.000, Forward, 3.87, 6.60, 70.9, 0.055
2500, 1/3, 1.148, -0.988, 1.648, -0.998, 1.701, -0.999, 1.690, -1.000, -5.000, -55.000, 0.000, Forward, 3.56, 5.66, 69.4, 0.057
3150, 1/3, 1.040, -0.974, 1.654, -0.999, 1.660, -1.000, 1.655, -1.000, -5.000, -46.000, 0.000, Forward, 4.41, 6.42, 73.4, 0.054
4000, 1/3, 1.363, -0.975, 1.433, -0.998, 1.469, -0.999, 1.556, -0.999, -5.000, -58.000, 0.000, Forward, 3.27, 5.34, 68.0, 0.061
5000, 1/3, 1.025, -0.984, 1.307, -1.000, 1.336, -1.000, 1.341, -1.000, -5.000, -37.000, 0.000, Forward, 4.33, 6.43, 73.1, 0.048
6300, 1/3, 0.687, -0.976, 1.192, -0.999, 1.171, -1.000, 1.169, -1.000, -5.000, -45.000, 0.000, Forward, 5.97, 8.21, 79.8, 0.038
8000, 1/3, 0.459, -0.981, 0.924, -0.998, 0.930, -0.999, 0.935, -1.000, -9.000, -46.000, 0.000, Forward, 7.94, 10.43, 86.1, 0.027
10000, 1/3, 0.376, -0.975, 0.717, -0.994, 0.751, -0.998, 0.764, -0.999, -5.000, -50.000, 0.000, Forward, 8.97, 12.37, 88.8, 0.023

full, 1/3, 0.916, -0.983, 1.478, -0.999, 1.541, -0.999, 1.500, -1.000, -5.000, -30.000, 0.000, Forward, 4.32, 6.85, 73.0, 0.049

